customer_account,customer_name,customer_segment,region,postcode_district,primary_warehouse_code,account_opened_date,credit_limit_gbp,account_status
C1482,Salford Ollerton Ltd,Counter Trade,North East,LS11,WAR,2021-10-24,50000.0,On hold
C1483,Mowbray J R Contracts Ltd,Builders' Merchant,Scotland,ML1,LIV,2022-03-18,50000.0,Active
C1484,Crowther Mowbray Ltd,Contractor,West Midlands,CB4,DAV,2021-11-21,120000.0,Active
C1486,Ollerton Trentham Ltd,Contractor,West Midlands,MK9,DAV,2021-06-01,10000.0,Active
C1488,Ferrers Salford Maintenance Ltd,Contractor,East Midlands,B18,DAV,2020-04-20,5000.0,Active
C1491,Duncombe Bexley Ltd,Contractor,West Midlands,NN1,DAV,2021-05-01,50000.0,Active
C1492,Latimer Cheveley Ltd,Counter Trade,North East,NE11,WAR,2022-07-08,15000.0,Active
C1495,Latimer Datchet Ltd,Counter Trade,North East,NE11,WAR,2012-02-14,50000.0,Active
C1497,Barrowby Ollerton Plumbing & Heating Ltd,Contractor,North West,M12,WAR,2018-03-29,10000.0,Active
C1498,Aldridge Aldridge Ltd,Contractor,South West,GL1,BRS,2018-01-29,10000.0,Active
C1501,Latimer J R Plumbing & Heating Ltd,Counter Trade,Wales,BA14,BRS,2019-07-31,35000.0,Active
C1504,Fenwick Datchet Contracts Ltd,Builders' Merchant,Scotland,EH54,LIV,2013-02-05,50000.0,Active
C1505,Ollerton Duncombe Building Services Ltd,Contractor,South West,CF24,BRS,2012-06-13,5000.0,Active
C1508,Datchet Fenwick Ltd,Facilities Management,North West,L24,WAR,2012-10-26,35000.0,Active
C1509,Kirkby Bexley Building Services Ltd,Contractor,East Midlands,MK9,DAV,2022-12-18,10000.0,Active
C1512,Crowther Rannoch Ltd,Builders' Merchant,East of England,CV1,DAV,2022-07-20,75000.0,On hold
C1515,Latimer Mowbray Group Ltd,Contractor,East Midlands,DE21,DAV,2020-04-24,35000.0,Active
C1518,Trentham Datchet Ltd,Contractor,South West,SA1,BRS,2014-10-16,120000.0,Active
C1521,Salford Ferrers Ltd,Builders' Merchant,East of England,NG7,DAV,2013-08-15,15000.0,Active
C1522,Cheveley Kirkby Group Ltd,Contractor,Yorkshire,WA3,WAR,2012-07-15,75000.0,Active
C1525,Cheveley Datchet Maintenance Ltd,Contractor,Wales,PL4,BRS,2012-09-10,25000.0,Active
C1526,Penhale Salford Ltd,Counter Trade,Scotland,G52,LIV,2017-11-07,25000.0,Active
C1527,Latimer Mowbray Group Ltd,Contractor,West Midlands,MK9,DAV,2022-07-05,50000.0,Active
C1528,J R Salford Contracts Ltd,Contractor,Scotland,ML1,LIV,2013-09-24,35000.0,Active
C1531,Salford Salford & Sons Ltd,Contractor,East Midlands,MK9,DAV,2014-11-09,35000.0,Active
C1532,Salford Datchet Group Ltd,Contractor,East of England,CV1,DAV,2022-01-10,25000.0,Active
C1533,Whitmore Bexley Ltd,Contractor,North East,NE11,WAR,2018-12-17,25000.0,On hold
C1535,J R Duncombe Maintenance Ltd,Facilities Management,North West,WA5,WAR,2018-05-15,35000.0,Active
C1538,Penhale Ollerton Ltd,Contractor,Yorkshire,S9,WAR,2016-03-20,50000.0,Active
C1541,Kirkby Trentham Group Ltd,Contractor,Wales,BS2,BRS,2016-03-15,15000.0,Active
C1543,Latimer Rannoch Ltd,Contractor,North West,S9,WAR,2013-04-23,120000.0,Active
C1546,Rannoch Mowbray Building Services Ltd,Contractor,Wales,BS2,BRS,2013-09-04,15000.0,Active
C1549,Whitmore Whitmore Maintenance Ltd,Contractor,East Midlands,PE1,DAV,2014-11-18,5000.0,Active
C1551,Ferrers Cheveley Plumbing & Heating Ltd,Contractor,East Midlands,NG7,DAV,2015-03-05,10000.0,Active
C1554,Duncombe Latimer Ltd,Contractor,East Midlands,MK9,DAV,2016-03-08,75000.0,Active
C1557,Rannoch Ollerton Building Services Ltd,Counter Trade,South West,PL4,BRS,2018-05-31,25000.0,Active
C1558,Rannoch Salford Ltd,Contractor,North West,BL4,WAR,2012-12-07,75000.0,Active
C1559,Duncombe Latimer Contracts Ltd,Contractor,East Midlands,CV1,DAV,2019-01-19,10000.0,Active
C1560,Ollerton J R Contracts Ltd,Counter Trade,North West,LS11,WAR,2020-01-11,120000.0,Active
C1563,Mowbray Trentham Contracts Ltd,Housebuilder,East Midlands,NN11,DAV,2017-01-31,10000.0,Active
C1565,Salford Ollerton Contracts Ltd,Facilities Management,West Midlands,CV1,DAV,2020-05-04,50000.0,Active
C1566,Salford Ollerton Services Ltd,Counter Trade,Scotland,IV2,LIV,2018-08-04,75000.0,On hold
C1568,Ollerton Latimer Services Ltd,Contractor,North East,M12,WAR,2013-04-16,75000.0,Active
C1569,Ollerton Duncombe Ltd,Facilities Management,West Midlands,PE1,DAV,2014-09-15,10000.0,Active
C1572,Penhale Crowther Building Services Ltd,Contractor,East of England,CB4,DAV,2021-07-17,50000.0,Active
C1574,Latimer Penhale Ltd,Facilities Management,Scotland,KY11,LIV,2016-12-23,120000.0,Active
C1577,Trentham Bexley Ltd,Counter Trade,East Midlands,NG7,DAV,2019-08-17,15000.0,Active
C1578,Duncombe J R Ltd,Contractor,South West,SN2,BRS,2016-10-05,5000.0,Active
C1581,Mowbray Kirkby Building Services Ltd,Contractor,North West,L24,WAR,2022-01-12,75000.0,Active
C1584,Duncombe Duncombe Ltd,Builders' Merchant,Scotland,DD2,LIV,2019-11-16,10000.0,Active
C1585,Ollerton Kirkby Services Ltd,Contractor,East Midlands,B18,DAV,2018-10-15,5000.0,Active
C1587,Aldridge Kirkby Building Services Ltd,Builders' Merchant,East of England,B18,DAV,2012-04-10,75000.0,Active
C1590,Crowther Fenwick Group Ltd,Contractor,South West,TA6,BRS,2014-08-13,25000.0,Active
C1591,Duncombe Whitmore Ltd,Builders' Merchant,North West,NE11,WAR,2021-01-23,5000.0,Active
C1593,Datchet Ollerton Maintenance Ltd,Builders' Merchant,East Midlands,NN1,DAV,2016-08-15,5000.0,Active
C1594,Bexley Penhale Building Services Ltd,Contractor,West Midlands,B18,DAV,2015-11-10,35000.0,Active
C1596,Barrowby Duncombe Group Ltd,Counter Trade,West Midlands,B18,DAV,2013-02-26,15000.0,Active
C1597,J R J R Ltd,Contractor,North West,L24,WAR,2019-10-17,5000.0,Active
C1599,Trentham Fenwick Group Ltd,Contractor,East Midlands,PE1,DAV,2014-05-12,5000.0,Active
C1600,Barrowby Ollerton Ltd,Facilities Management,Scotland,KY11,LIV,2023-03-30,5000.0,Active
C1602,Ollerton Selwood Contracts Ltd,Contractor,Wales,BS35,BRS,2017-06-13,15000.0,Active
C1605,Rannoch Crowther Ltd,Builders' Merchant,East Midlands,LE3,DAV,2019-03-21,5000.0,Active
C1607,Rannoch Kirkby Ltd,Housebuilder,Scotland,G52,LIV,2015-01-06,75000.0,Active
C1610,Aldridge Whitmore Ltd,Contractor,West Midlands,PE1,DAV,2022-07-30,10000.0,Active
C1613,Whitmore Aldridge Ltd,Contractor,East of England,DE21,DAV,2018-11-13,50000.0,Active
C1616,Ollerton Fenwick Contracts Ltd,Contractor,East of England,LE3,DAV,2016-01-20,50000.0,Active
C1619,Duncombe J R Plumbing & Heating Ltd,Housebuilder,Wales,BS2,BRS,2022-03-01,10000.0,Active
C1622,Bexley J R Ltd,Contractor,West Midlands,CB4,DAV,2022-10-04,50000.0,On hold
C1624,Rannoch Salford Ltd,Builders' Merchant,Yorkshire,CH5,WAR,2019-08-21,5000.0,Active
C1626,Aldridge Selwood Contracts Ltd,Contractor,East Midlands,DE21,DAV,2013-03-29,10000.0,Active
C1629,Duncombe J R Services Ltd,Contractor,East Midlands,NN1,DAV,2016-11-30,10000.0,Active
C1632,Ollerton Duncombe Group Ltd,Facilities Management,East of England,NG7,DAV,2019-11-18,25000.0,Active
C1634,Kirkby Salford & Sons Ltd,Builders' Merchant,Scotland,ML1,LIV,2012-02-09,75000.0,Active
C1636,Bexley Barrowby Ltd,Housebuilder,East Midlands,LE3,DAV,2018-12-17,25000.0,Active
C1637,Aldridge Crowther Building Services Ltd,Contractor,West Midlands,NN1,DAV,2013-12-10,10000.0,Active
C1639,Trentham Cheveley Ltd,Facilities Management,West Midlands,NG7,DAV,2017-03-19,50000.0,Active
C1641,Penhale Fenwick Ltd,Counter Trade,West Midlands,DE21,DAV,2015-09-21,5000.0,Active
C1644,Ollerton Ferrers Ltd,Contractor,East of England,CB4,DAV,2018-07-07,50000.0,Active
C1646,Barrowby Crowther Plumbing & Heating Ltd,Builders' Merchant,East Midlands,NG7,DAV,2021-06-27,35000.0,On hold
C1648,Ferrers Mowbray Ltd,Builders' Merchant,West Midlands,LE3,DAV,2017-08-18,75000.0,Active
C1651,Barrowby Mowbray Building Services Ltd,Contractor,North West,LS11,WAR,2019-10-04,75000.0,Active
C1653,Fenwick Barrowby Building Services Ltd,Facilities Management,Yorkshire,CH5,WAR,2019-05-10,25000.0,Active
C1656,Barrowby Rannoch & Sons Ltd,Counter Trade,North East,L24,WAR,2020-02-20,120000.0,Active
C1659,Bexley Barrowby Services Ltd,Facilities Management,Wales,PL4,BRS,2017-10-15,120000.0,Active
C1660,Penhale Datchet Ltd,Contractor,West Midlands,PE1,DAV,2020-09-11,5000.0,Active
C1663,Trentham Selwood Building Services Ltd,Contractor,Scotland,AB12,LIV,2013-12-23,25000.0,Active
C1664,Barrowby Crowther Plumbing & Heating Ltd,Contractor,South West,CF24,BRS,2022-04-23,5000.0,On hold
C1666,Trentham Aldridge Ltd,Facilities Management,Scotland,AB12,LIV,2013-02-04,25000.0,On hold
C1669,Penhale Crowther Building Services Ltd,Builders' Merchant,West Midlands,MK9,DAV,2012-01-10,35000.0,Active
C1671,Rannoch Trentham Ltd,Contractor,Yorkshire,NE11,WAR,2021-09-01,50000.0,Active
C1674,Ollerton Datchet Ltd,Contractor,South West,TA6,BRS,2023-10-08,15000.0,Active
C1676,Ollerton Mowbray Group Ltd,Builders' Merchant,East Midlands,CV1,DAV,2017-12-20,5000.0,Active
C1679,Mowbray J R Plumbing & Heating Ltd,Contractor,North West,M12,WAR,2015-09-26,5000.0,Active
C1680,Duncombe Selwood Plumbing & Heating Ltd,Counter Trade,North East,WA5,WAR,2013-09-09,120000.0,Active
C1681,Mowbray Latimer Ltd,Contractor,West Midlands,PE1,DAV,2018-07-21,10000.0,Active
C1682,Fenwick Whitmore Services Ltd,Facilities Management,West Midlands,NG7,DAV,2013-01-11,10000.0,Active
C1685,Salford Aldridge Ltd,Counter Trade,Scotland,PA3,LIV,2020-04-15,35000.0,Active
C1687,Datchet Whitmore Ltd,Contractor,Scotland,EH54,LIV,2021-11-18,50000.0,Active
C1689,Barrowby Datchet Ltd,Contractor,Scotland,AB12,LIV,2022-07-26,10000.0,Active
C1691,Selwood Selwood Services Ltd,Facilities Management,Scotland,IV2,LIV,2013-06-11,10000.0,Active
C1693,Datchet Salford Maintenance Ltd,Counter Trade,Scotland,ML1,LIV,2022-02-28,120000.0,Active
C1694,Kirkby Duncombe Ltd,Contractor,Scotland,KY11,LIV,2019-11-24,10000.0,Active
C1695,Ollerton Crowther Ltd,Contractor,West Midlands,CB4,DAV,2022-09-29,10000.0,Active
C1697,Rannoch Cheveley Contracts Ltd,Contractor,South West,PL4,BRS,2019-10-06,10000.0,Active
C1700,Mowbray Mowbray Maintenance Ltd,Contractor,West Midlands,NN11,DAV,2012-06-10,35000.0,Active
C1702,Fenwick Whitmore & Sons Ltd,Contractor,North West,WA3,WAR,2015-04-21,50000.0,Active
C1704,Kirkby Crowther Ltd,Contractor,East of England,NN11,DAV,2021-07-14,50000.0,Active
C1705,Whitmore Duncombe Ltd,Contractor,Scotland,DD2,LIV,2015-01-14,75000.0,Active
C1708,Whitmore Ferrers Ltd,Facilities Management,East of England,NN1,DAV,2019-05-23,50000.0,Active
C1710,Latimer Ferrers Building Services Ltd,Counter Trade,West Midlands,NG7,DAV,2019-08-24,5000.0,Active
C1713,Datchet Kirkby Group Ltd,Contractor,North East,NE11,WAR,2013-02-11,5000.0,Active
C1715,Datchet Fenwick Services Ltd,Housebuilder,Scotland,EH54,LIV,2022-05-20,120000.0,Active
C1716,Salford Ollerton Group Ltd,Housebuilder,Yorkshire,WA3,WAR,2017-04-13,75000.0,Active
C1717,Ollerton J R Ltd,Builders' Merchant,South West,BS35,BRS,2016-03-08,5000.0,Active
C1720,Datchet Penhale & Sons Ltd,Contractor,Yorkshire,S9,WAR,2017-01-26,10000.0,Active
C1723,Latimer Cheveley Plumbing & Heating Ltd,Contractor,Scotland,IV2,LIV,2018-07-11,5000.0,Active
C1724,Trentham Aldridge Contracts Ltd,Facilities Management,Yorkshire,CH5,WAR,2015-12-05,10000.0,Active
C1726,Ollerton Penhale Building Services Ltd,Builders' Merchant,Scotland,DD2,LIV,2014-02-08,25000.0,Active
C1728,Ferrers Ollerton Ltd,Contractor,East of England,DE21,DAV,2014-04-26,5000.0,Active
C1730,Whitmore Rannoch Maintenance Ltd,Builders' Merchant,North West,LS11,WAR,2012-03-15,35000.0,Active
C1733,Ollerton Rannoch Building Services Ltd,Contractor,South West,PL4,BRS,2016-03-25,35000.0,Active
C1734,Cheveley Crowther Building Services Ltd,Contractor,East of England,CV1,DAV,2016-08-24,15000.0,Active
C1737,Trentham Salford Ltd,Contractor,Wales,GL1,BRS,2022-04-03,10000.0,Active
C1739,Datchet Datchet Building Services Ltd,Builders' Merchant,West Midlands,NN11,DAV,2020-07-19,50000.0,Active
C1741,Salford Crowther & Sons Ltd,Contractor,South West,EX4,BRS,2017-05-24,15000.0,Active
C1743,Mowbray Duncombe & Sons Ltd,Contractor,East Midlands,B18,DAV,2018-10-02,5000.0,Active
C1744,Kirkby Ferrers Ltd,Facilities Management,East of England,NN1,DAV,2020-10-14,25000.0,Active
C1746,Salford Selwood Contracts Ltd,Facilities Management,West Midlands,NG7,DAV,2014-10-17,10000.0,Active
C1748,J R Cheveley Plumbing & Heating Ltd,Contractor,West Midlands,CB4,DAV,2022-08-01,120000.0,Active
C1750,Duncombe Ferrers Plumbing & Heating Ltd,Contractor,Yorkshire,WA3,WAR,2015-05-14,5000.0,Active
C1752,Aldridge Cheveley & Sons Ltd,Contractor,North East,BL4,WAR,2023-09-16,75000.0,Active
C1755,Salford Datchet Maintenance Ltd,Facilities Management,West Midlands,CB4,DAV,2014-03-27,5000.0,Active
C1757,Mowbray Crowther Ltd,Builders' Merchant,South West,SA1,BRS,2012-06-27,25000.0,Active
C1760,Barrowby Aldridge Group Ltd,Facilities Management,East of England,CV1,DAV,2020-10-15,120000.0,Active
C1763,Mowbray Ollerton & Sons Ltd,Contractor,Yorkshire,NE11,WAR,2013-02-16,120000.0,Active
C1765,Kirkby Latimer Plumbing & Heating Ltd,Counter Trade,East of England,CV1,DAV,2017-06-30,75000.0,On hold
C1767,Salford Cheveley Building Services Ltd,Counter Trade,West Midlands,NN1,DAV,2020-12-16,75000.0,Active
C1768,Ollerton Mowbray Contracts Ltd,Contractor,Scotland,IV2,LIV,2017-06-30,35000.0,Active
C1770,Datchet Ferrers Maintenance Ltd,Contractor,North West,S9,WAR,2021-02-19,50000.0,Active
C1773,Crowther Whitmore Building Services Ltd,Contractor,South West,GL1,BRS,2019-01-01,50000.0,Active
C1776,Salford Whitmore Ltd,Counter Trade,East Midlands,NN1,DAV,2021-09-14,5000.0,Active
C1778,Cheveley Duncombe Ltd,Housebuilder,Scotland,ML1,LIV,2018-06-22,10000.0,Active
C1781,Bexley Aldridge & Sons Ltd,Counter Trade,East Midlands,NN1,DAV,2017-06-07,5000.0,Active
C1783,Bexley Fenwick Contracts Ltd,Counter Trade,Wales,SA1,BRS,2016-12-04,75000.0,Active
C1785,Selwood Rannoch Ltd,Contractor,Wales,SA1,BRS,2015-07-12,120000.0,Active
C1787,Cheveley Aldridge Building Services Ltd,Facilities Management,West Midlands,MK9,DAV,2017-12-16,5000.0,Active
C1788,Rannoch Aldridge Services Ltd,Builders' Merchant,East of England,MK9,DAV,2020-04-26,10000.0,Active
C1790,Latimer Aldridge Maintenance Ltd,Contractor,North West,PR2,WAR,2018-10-05,35000.0,Active
C1791,J R Ollerton Building Services Ltd,Contractor,South West,PL4,BRS,2022-10-06,5000.0,Active
C1793,Ollerton Latimer Plumbing & Heating Ltd,Builders' Merchant,South West,BS2,BRS,2014-08-18,35000.0,Active
C1795,Cheveley Cheveley Group Ltd,Contractor,East Midlands,PE1,DAV,2013-12-02,15000.0,Active
C1796,Salford J R Ltd,Contractor,East Midlands,CB4,DAV,2015-03-25,25000.0,Active
C1798,Duncombe Ollerton Group Ltd,Contractor,East Midlands,NG7,DAV,2019-03-28,75000.0,Active
C1800,Kirkby Datchet Services Ltd,Contractor,East Midlands,NN1,DAV,2017-06-06,5000.0,Active
C1802,Trentham Ollerton Ltd,Builders' Merchant,Yorkshire,L24,WAR,2016-10-23,50000.0,Active
C1803,Crowther Ollerton Contracts Ltd,Contractor,Scotland,G52,LIV,2019-10-10,75000.0,Active
C1806,Salford Duncombe Ltd,Builders' Merchant,Yorkshire,WA5,WAR,2012-05-09,10000.0,Active
C1808,Salford Selwood Maintenance Ltd,Counter Trade,Yorkshire,PR2,WAR,2012-10-10,35000.0,Active
C1811,Barrowby Crowther Building Services Ltd,Contractor,West Midlands,PE1,DAV,2022-01-08,75000.0,Active
C1813,Cheveley Cheveley Building Services Ltd,Contractor,Wales,BA14,BRS,2013-02-04,120000.0,Active
C1814,Penhale Barrowby & Sons Ltd,Facilities Management,Scotland,IV2,LIV,2015-04-22,120000.0,Active
C1817,Ferrers Kirkby Contracts Ltd,Contractor,Scotland,PA3,LIV,2017-10-13,50000.0,Active
C1818,Rannoch Whitmore & Sons Ltd,Facilities Management,East of England,NN1,DAV,2013-07-06,25000.0,Active
C1821,Rannoch Cheveley & Sons Ltd,Contractor,Scotland,KY11,LIV,2016-07-01,120000.0,Active
C1822,Trentham Duncombe Contracts Ltd,Counter Trade,North East,NE11,WAR,2020-03-13,25000.0,Active
C1823,Kirkby Barrowby Building Services Ltd,Builders' Merchant,Scotland,EH54,LIV,2015-12-07,35000.0,Active
C1826,Aldridge Mowbray Ltd,Facilities Management,East Midlands,NG7,DAV,2017-12-21,75000.0,Active
C1827,Crowther Trentham Ltd,Builders' Merchant,West Midlands,LE3,DAV,2016-11-16,15000.0,Active
C1830,Fenwick Latimer Services Ltd,Housebuilder,West Midlands,MK9,DAV,2022-09-09,10000.0,Active
C1831,Whitmore Rannoch Contracts Ltd,Contractor,North East,WA5,WAR,2021-05-09,35000.0,Active
C1833,Ferrers Bexley Services Ltd,Contractor,North East,PR2,WAR,2021-04-14,75000.0,Active
C1835,Aldridge Fenwick Group Ltd,Facilities Management,Scotland,DD2,LIV,2022-04-17,10000.0,Active
C1837,Rannoch Cheveley Ltd,Counter Trade,North West,S9,WAR,2013-01-21,120000.0,Active
C1839,Latimer Fenwick Services Ltd,Contractor,North East,LS11,WAR,2022-05-12,10000.0,Active
C1841,Whitmore J R Contracts Ltd,Contractor,East Midlands,PE1,DAV,2014-04-27,25000.0,Active
C1844,Latimer Ferrers Contracts Ltd,Contractor,Yorkshire,BL4,WAR,2012-01-06,15000.0,Active
C1847,Barrowby Selwood Contracts Ltd,Contractor,Scotland,IV2,LIV,2021-01-21,10000.0,Active
C1848,Mowbray Bexley Building Services Ltd,Contractor,North East,PR2,WAR,2019-02-13,50000.0,Active
C1850,Rannoch Fenwick Group Ltd,Counter Trade,North East,S9,WAR,2015-09-28,25000.0,Active
C1853,Fenwick Selwood Maintenance Ltd,Counter Trade,Scotland,KY11,LIV,2013-04-11,35000.0,On hold
C1854,Bexley Salford Ltd,Contractor,East Midlands,LE3,DAV,2023-05-19,35000.0,Active
C1856,Cheveley Whitmore Ltd,Facilities Management,Scotland,IV2,LIV,2012-03-09,50000.0,On hold
C1859,Latimer Duncombe Ltd,Contractor,East Midlands,CB4,DAV,2021-01-21,15000.0,Active
C1861,Fenwick Ferrers Plumbing & Heating Ltd,Housebuilder,East Midlands,CB4,DAV,2018-06-30,25000.0,Active
C1864,Latimer Crowther & Sons Ltd,Contractor,East of England,B18,DAV,2016-07-22,50000.0,Active
C1866,Bexley Fenwick Services Ltd,Contractor,North West,S9,WAR,2021-01-16,10000.0,Active
C1867,Whitmore Aldridge Maintenance Ltd,Counter Trade,Scotland,G52,LIV,2014-01-27,75000.0,Active
C1870,Trentham Datchet Group Ltd,Contractor,Wales,PL4,BRS,2019-12-13,25000.0,Active
C1871,Rannoch Ferrers Contracts Ltd,Counter Trade,Yorkshire,CH5,WAR,2022-11-20,10000.0,Active
C1872,Duncombe Ollerton Plumbing & Heating Ltd,Facilities Management,North East,BL4,WAR,2022-10-30,120000.0,Active
C1874,Penhale Aldridge Plumbing & Heating Ltd,Counter Trade,South West,SA1,BRS,2020-04-25,25000.0,Active
C1875,Datchet Mowbray Plumbing & Heating Ltd,Contractor,West Midlands,MK9,DAV,2018-09-22,35000.0,Active
C1878,Ferrers Barrowby Maintenance Ltd,Contractor,Scotland,EH54,LIV,2015-07-16,120000.0,Active
C1881,Aldridge Mowbray Plumbing & Heating Ltd,Facilities Management,West Midlands,NG7,DAV,2018-10-20,75000.0,Active
C1882,Penhale Selwood Ltd,Facilities Management,East of England,B18,DAV,2017-11-21,25000.0,Active
C1885,Salford Trentham Maintenance Ltd,Contractor,North East,M12,WAR,2023-05-29,5000.0,Active
C1888,Barrowby Mowbray Ltd,Facilities Management,East Midlands,NG7,DAV,2020-03-14,75000.0,Active
C1890,Salford Barrowby Maintenance Ltd,Contractor,West Midlands,NN11,DAV,2015-09-01,75000.0,Active
C1892,Mowbray Penhale Ltd,Contractor,Scotland,ML1,LIV,2023-01-11,50000.0,Active
C1895,Duncombe Selwood Contracts Ltd,Facilities Management,West Midlands,NN1,DAV,2012-07-16,120000.0,Active
C1896,Penhale Datchet Contracts Ltd,Facilities Management,Yorkshire,M12,WAR,2014-09-10,25000.0,Active
C1898,Kirkby Barrowby Contracts Ltd,Facilities Management,East of England,DE21,DAV,2015-10-13,10000.0,Active
C1900,Aldridge Bexley Ltd,Counter Trade,Scotland,PA3,LIV,2020-09-03,35000.0,Active
C1901,Ferrers Trentham Ltd,Contractor,West Midlands,DE21,DAV,2012-09-22,35000.0,Active
C1904,Barrowby Whitmore Ltd,Facilities Management,Scotland,G52,LIV,2019-09-02,10000.0,Active
C1907,Whitmore Ollerton Ltd,Counter Trade,South West,GL1,BRS,2012-03-12,15000.0,Active
C1910,Latimer Rannoch Maintenance Ltd,Contractor,East of England,NN11,DAV,2012-06-20,35000.0,Active
C1911,Bexley Trentham Ltd,Contractor,Scotland,AB12,LIV,2013-07-11,10000.0,Active
C1912,Ferrers Ferrers Services Ltd,Facilities Management,North West,NE11,WAR,2022-12-23,5000.0,Active
C1915,Latimer Ferrers & Sons Ltd,Counter Trade,South West,GL1,BRS,2014-04-18,120000.0,Active
C1918,Selwood Cheveley Ltd,Facilities Management,North West,BL4,WAR,2020-05-28,120000.0,Active
C1921,Aldridge Duncombe Ltd,Facilities Management,Scotland,DD2,LIV,2016-10-19,15000.0,Active
C1923,Mowbray Fenwick Ltd,Contractor,East Midlands,PE1,DAV,2019-06-04,10000.0,Active
C1924,Datchet Kirkby Plumbing & Heating Ltd,Contractor,Yorkshire,LS11,WAR,2018-06-22,50000.0,Active
C1926,Latimer Ollerton Contracts Ltd,Facilities Management,West Midlands,MK9,DAV,2017-11-02,25000.0,Active
C1928,Duncombe Latimer Group Ltd,Contractor,East of England,DE21,DAV,2015-06-12,50000.0,Active
C1931,SALFORD WHITMORE LIMITED,Counter Trade,East Midlands,NN1,DAV,2022-09-14,5000.0,Active
C1933,BARROWBY BEXLEY CONTRACTS LIMITED,Contractor,Yorkshire,M12,WAR,2026-08-06,5000.0,Active
C1936,Selwood Trentham Plumbing & Heating Limited,Contractor,West Midlands,B18,DAV,2017-02-23,25000.0,Active
C1938,Latimer Rannoch Maintenance Limited,Contractor,East of England,NN11,DAV,2013-02-06,35000.0,Active
C1939,LATIMER FERRERS & SONS LIMITED,Counter Trade,South West,GL1,BRS,2017-05-25,120000.0,Active
C1940,DATCHET MOWBRAY BUILDING SERVICES LIMITED,Housebuilder,East Midlands,DE21,DAV,2026-11-17,35000.0,Active
C1941,Kirkby Barrowby Building Services Limited,Builders' Merchant,Scotland,EH54,LIV,2019-08-12,35000.0,Active
C1944,Ferrers Selwood Limited,Counter Trade,South West,TA6,BRS,2013-06-03,25000.0,Active
C1947,Trentham Salford Services Limited,Contractor,East of England,DE21,DAV,2019-07-05,120000.0,Active
C1948,Salford Ferrers & Sons Limited,Contractor,Yorkshire,LS11,WAR,2018-02-17,35000.0,Active
C1950,Fenwick Barrowby Building Services Limited,Facilities Management,Yorkshire,CH5,WAR,2020-11-16,25000.0,Active
C1951,Kirkby Duncombe Limited,Contractor,Scotland,KY11,LIV,2025-05-02,10000.0,Active
C1952,Barrowby Aldridge Group Limited,Facilities Management,East of England,CV1,DAV,2026-03-05,120000.0,Active
C1955,Penhale Datchet Contracts Limited,Facilities Management,Yorkshire,M12,WAR,2015-09-13,25000.0,Active
C1957,SALFORD FERRERS LIMITED,Builders' Merchant,Scotland,IV2,LIV,2026-08-19,50000.0,Active
C1959,DATCHET WHITMORE LIMITED,Contractor,Scotland,EH54,LIV,2025-04-23,50000.0,Active
C1960,TRENTHAM OLLERTON LIMITED,Builders' Merchant,Yorkshire,L24,WAR,2020-09-10,50000.0,Active
C1961,SALFORD OLLERTON LIMITED,Counter Trade,North East,LS11,WAR,2027-03-22,50000.0,Active
C1964,Salford Kirkby Maintenance Limited,Contractor,Scotland,AB12,LIV,2014-07-14,35000.0,Active
C1967,Rannoch Ollerton Group Limited,Contractor,North West,PR2,WAR,2016-09-29,50000.0,Active
C1970,OLLERTON SELWOOD CONTRACTS LIMITED,Contractor,Wales,BS35,BRS,2019-02-26,15000.0,Active
C1971,DATCHET BEXLEY LIMITED,Facilities Management,East of England,MK9,DAV,2025-11-07,75000.0,Active
C1972,Ollerton Cheveley Group Limited,Contractor,West Midlands,LE3,DAV,2027-03-30,15000.0,Active
C1975,CROWTHER OLLERTON CONTRACTS LIMITED,Contractor,Scotland,G52,LIV,2020-12-05,75000.0,Active
C1977,Aldridge Whitmore Limited,Contractor,West Midlands,PE1,DAV,2027-06-09,10000.0,Active
C1979,Latimer Penhale Limited,Contractor,West Midlands,LE3,DAV,2016-04-03,10000.0,Active
C1980,Selwood Penhale Services Limited,Contractor,West Midlands,MK9,DAV,2017-10-09,50000.0,Active
C1983,Duncombe Ollerton Plumbing & Heating Limited,Facilities Management,North East,BL4,WAR,2027-11-24,120000.0,Active
C1985,Duncombe Selwood Contracts Limited,Facilities Management,West Midlands,NN1,DAV,2015-08-31,120000.0,Active
C1988,WHITMORE DUNCOMBE LIMITED,Builders' Merchant,Yorkshire,WA5,WAR,2020-12-13,35000.0,Active
