sku,warehouse_code,reorder_point_units,reorder_quantity_units,safety_stock_units,review_method,last_reviewed_date,set_by_buyer,stocked_since
RENW-1087,LIV,9,27,5,Min/max,2024-11-04,R. Deakin,2019-09-02
RENW-1087,WAR,6,21,2,Periodic review,2025-02-09,A. Whitcombe,2014-05-12
RENW-1095,DAV,3,4,2,Min/max,2023-09-15,T. Harrowby,2020-10-06
RENW-1100,BRS,5,13,2,Periodic review,2023-12-27,R. Deakin,2024-07-01
RENW-1100,DAV,8,26,3,Min/max,2023-07-11,S. Nkemelu,2017-01-11
RENW-1100,LIV,16,61,7,Periodic review,2024-11-17,T. Harrowby,2019-09-02
RENW-1100,WAR,15,60,4,Periodic review,2025-08-24,A. Whitcombe,2017-01-11
RENW-1105,DAV,3,5,2,Manual buyer judgement,2024-12-26,M. Castleford,2022-03-23
RENW-1112,DAV,8,12,3,Periodic review,2025-11-02,T. Harrowby,2021-07-27
RENW-1122,DAV,4,5,2,Min/max,2025-07-17,R. Deakin,2014-05-01
RENW-1127,DAV,3,3,2,Periodic review,2025-07-29,S. Nkemelu,2016-03-17
RENW-1134,DAV,3,3,2,Manual buyer judgement,2025-02-08,R. Deakin,2022-11-30
RENW-1145,DAV,6,7,3,Min/max,2024-12-02,T. Harrowby,2014-01-28
RENW-1152,DAV,4,6,2,Min/max,2025-04-26,S. Nkemelu,2016-01-24
RENW-1158,DAV,3,3,2,Manual buyer judgement,2025-07-12,R. Deakin,2019-05-19
RENW-1161,DAV,7,9,3,Periodic review,2025-03-19,S. Nkemelu,2016-07-16
RENW-1171,DAV,5,6,2,Min/max,2024-12-19,S. Nkemelu,2012-11-29
RENW-1180,DAV,7,18,3,Periodic review,2025-11-16,T. Harrowby,2012-08-10
RENW-1186,DAV,3,4,2,Min/max,2025-07-22,R. Deakin,2014-08-16
RENW-1192,DAV,4,8,2,Manual buyer judgement,2024-06-09,T. Harrowby,2019-06-19
RENW-1201,DAV,3,3,2,Min/max,2024-02-22,T. Harrowby,2014-08-17
RENW-1203,DAV,4,6,2,Min/max,2025-03-21,T. Harrowby,2021-03-03
RENW-1212,DAV,4,4,2,Periodic review,2024-11-26,A. Whitcombe,2012-08-31
TOOL-1003,DAV,25,36,19,Min/max,2025-05-22,T. Harrowby,2015-02-12
TOOL-1003,WAR,18,36,13,Min/max,2025-06-29,R. Deakin,2015-02-12
TOOL-1007,DAV,23,36,19,Min/max,2024-11-22,R. Deakin,2018-08-28
TOOL-1018,BRS,18,36,10,Manual buyer judgement,2024-02-24,T. Harrowby,2024-07-01
TOOL-1018,DAV,34,80,19,Manual buyer judgement,2023-12-03,T. Harrowby,2020-08-25
TOOL-1018,LIV,54,98,40,Min/max,2023-12-27,A. Whitcombe,2020-08-25
TOOL-1018,WAR,25,66,13,Periodic review,2024-08-26,T. Harrowby,2020-08-25
TOOL-1021,BRS,18,36,10,Periodic review,2025-07-25,M. Castleford,2024-07-01
TOOL-1021,DAV,35,87,19,Min/max,2025-08-02,T. Harrowby,2015-04-11
TOOL-1021,LIV,56,111,40,Min/max,2025-04-20,R. Deakin,2019-09-02
TOOL-1021,WAR,27,76,13,Min/max,2025-09-25,M. Castleford,2015-04-11
TOOL-1031,BRS,53,36,19,Min/max,2024-01-01,T. Harrowby,2024-07-01
TOOL-1031,DAV,122,57,41,Manual buyer judgement,2024-06-26,R. Deakin,2020-06-14
TOOL-1031,LIV,149,71,72,Min/max,2024-11-01,T. Harrowby,2020-06-14
TOOL-1031,WAR,95,48,29,Min/max,2025-07-08,A. Whitcombe,2020-06-14
TOOL-1037,DAV,21,36,19,Min/max,2024-03-31,S. Nkemelu,2022-03-30
TOOL-1047,DAV,42,36,21,Min/max,2025-12-04,A. Whitcombe,2015-04-15
TOOL-1051,DAV,72,36,30,Periodic review,2025-09-09,T. Harrowby,2017-07-01
TOOL-1051,WAR,57,36,21,Min/max,2024-11-03,T. Harrowby,2017-07-01
TOOL-1056,DAV,30,36,19,Min/max,2025-01-17,S. Nkemelu,2019-11-03
TOOL-1067,BRS,95,45,27,Manual buyer judgement,2024-11-07,R. Deakin,2024-07-01
TOOL-1067,DAV,214,112,57,Periodic review,2025-09-25,R. Deakin,2012-03-21
TOOL-1067,LIV,259,143,103,Min/max,2025-06-29,R. Deakin,2019-09-02
TOOL-1067,WAR,175,98,41,Periodic review,2025-12-01,R. Deakin,2014-05-12
TOOL-1071,BRS,109,53,29,Min/max,2025-04-22,A. Whitcombe,2024-07-01
TOOL-1071,DAV,253,135,63,Min/max,2025-03-09,S. Nkemelu,2015-11-12
TOOL-1071,LIV,292,166,111,Periodic review,2025-09-16,R. Deakin,2019-09-02
TOOL-1071,WAR,205,117,45,Periodic review,2025-03-09,R. Deakin,2015-11-12
TOOL-1077,BRS,87,40,26,Min/max,2024-07-21,T. Harrowby,2024-07-01
TOOL-1077,DAV,193,99,54,Min/max,2025-01-10,M. Castleford,2020-11-28
TOOL-1077,LIV,232,124,96,Min/max,2024-12-19,R. Deakin,2020-11-28
TOOL-1077,WAR,154,85,38,Min/max,2025-02-02,T. Harrowby,2020-11-28
TOOL-1087,BRS,18,36,10,Periodic review,2025-12-03,T. Harrowby,2024-07-01
TOOL-1087,DAV,29,51,19,Min/max,2024-11-22,T. Harrowby,2014-07-15
TOOL-1087,LIV,49,61,40,Periodic review,2025-09-02,T. Harrowby,2019-09-02
TOOL-1087,WAR,21,42,13,Min/max,2025-09-17,R. Deakin,2014-07-15
TOOL-1092,BRS,61,36,21,Min/max,2025-02-13,T. Harrowby,2024-07-01
TOOL-1092,DAV,141,69,45,Min/max,2024-10-31,R. Deakin,2014-07-22
TOOL-1092,LIV,172,85,79,Min/max,2025-01-23,T. Harrowby,2019-09-02
TOOL-1092,WAR,113,59,32,Min/max,2024-04-07,S. Nkemelu,2014-07-22
TOOL-1100,DAV,23,36,19,Periodic review,2025-07-16,S. Nkemelu,2012-02-04
TOOL-1110,BRS,18,36,10,Min/max,2025-05-31,S. Nkemelu,2024-07-01
TOOL-1110,DAV,31,64,19,Periodic review,2025-04-24,T. Harrowby,2019-01-10
TOOL-1110,LIV,51,78,40,Periodic review,2023-11-28,M. Castleford,2019-09-02
TOOL-1110,WAR,23,56,13,Min/max,2025-10-10,A. Whitcombe,2019-01-10
TOOL-1115,DAV,23,36,19,Periodic review,2025-12-10,T. Harrowby,2011-04-11
TOOL-1124,DAV,24,36,19,Manual buyer judgement,2025-01-24,A. Whitcombe,2023-06-15
TOOL-1128,BRS,58,196,20,Min/max,2024-01-08,R. Deakin,2024-07-01
TOOL-1128,DAV,136,510,44,Min/max,2023-12-03,R. Deakin,2013-11-05
TOOL-1128,LIV,161,605,76,Min/max,2025-06-28,S. Nkemelu,2019-09-02
TOOL-1128,WAR,104,422,30,Min/max,2025-03-09,S. Nkemelu,2014-05-12
TOOL-1137,BRS,18,36,10,Min/max,2025-06-12,R. Deakin,2024-07-01
TOOL-1137,DAV,29,52,19,Min/max,2024-11-08,S. Nkemelu,2019-08-29
TOOL-1137,LIV,49,62,40,Min/max,2025-06-21,S. Nkemelu,2019-09-02
TOOL-1137,WAR,21,45,13,Periodic review,2024-12-04,S. Nkemelu,2019-08-29
TOOL-1144,BRS,38,36,16,Min/max,2025-01-21,S. Nkemelu,2024-07-01
TOOL-1144,DAV,84,36,33,Manual buyer judgement,2025-03-13,M. Castleford,2012-05-04
TOOL-1144,WAR,64,36,23,Min/max,2025-09-29,M. Castleford,2014-05-12
TOOL-1149,BRS,40,36,16,Min/max,2023-10-30,S. Nkemelu,2024-07-01
TOOL-1149,DAV,93,41,35,Min/max,2023-08-07,T. Harrowby,2018-01-25
TOOL-1149,WAR,68,36,24,Manual buyer judgement,2025-07-08,A. Whitcombe,2018-01-25
TOOL-1155,DAV,74,36,30,Min/max,2023-11-15,S. Nkemelu,2016-02-04
TOOL-1155,WAR,59,36,22,Manual buyer judgement,2025-08-01,T. Harrowby,2016-02-04
TOOL-1163,BRS,18,36,10,Min/max,2024-06-22,T. Harrowby,2024-07-01
TOOL-1163,DAV,28,46,19,Periodic review,2025-04-04,S. Nkemelu,2018-02-08
TOOL-1163,LIV,48,56,40,Min/max,2025-09-18,T. Harrowby,2019-09-02
TOOL-1163,WAR,20,40,13,Manual buyer judgement,2024-11-27,T. Harrowby,2018-02-08
TOOL-1171,DAV,24,36,19,Manual buyer judgement,2025-09-19,S. Nkemelu,2017-10-27
TOOL-1175,BRS,18,36,10,Min/max,2025-10-20,M. Castleford,2024-07-01
TOOL-1175,DAV,28,45,19,Min/max,2023-10-24,A. Whitcombe,2017-05-14
TOOL-1175,WAR,20,36,13,Min/max,2025-09-23,A. Whitcombe,2017-05-14
TOOL-1182,BRS,18,36,10,Min/max,2025-03-22,A. Whitcombe,2024-07-01
TOOL-1182,DAV,26,37,19,Periodic review,2025-09-12,A. Whitcombe,2018-04-03
TOOL-1182,WAR,19,36,13,Min/max,2025-05-04,R. Deakin,2018-04-03
TOOL-1192,DAV,22,36,19,Min/max,2025-11-22,S. Nkemelu,2013-09-05
TOOL-1201,BRS,18,36,10,Periodic review,2025-02-20,T. Harrowby,2024-07-01
TOOL-1201,DAV,25,36,19,Periodic review,2025-02-07,R. Deakin,2012-05-29
TOOL-1201,WAR,18,36,13,Periodic review,2025-03-04,M. Castleford,2014-05-12
TOOL-1205,DAV,54,36,25,Min/max,2024-10-23,T. Harrowby,2011-09-16
TOOL-1214,DAV,24,36,19,Periodic review,2024-10-23,S. Nkemelu,2011-08-09
TOOL-1219,BRS,18,36,10,Min/max,2025-09-14,T. Harrowby,2024-07-01
TOOL-1219,DAV,27,44,19,Min/max,2025-01-16,R. Deakin,2015-01-04
TOOL-1219,LIV,48,52,40,Min/max,2025-10-27,M. Castleford,2019-09-02
TOOL-1219,WAR,20,37,13,Min/max,2025-08-04,S. Nkemelu,2015-01-04
VALV-1002,DAV,9,15,8,Min/max,2025-04-25,S. Nkemelu,2018-09-26
VALV-1007,BRS,9,18,5,Periodic review,2024-05-29,T. Harrowby,2024-07-01
VALV-1007,DAV,14,32,8,Min/max,2025-02-25,R. Deakin,2015-08-28
VALV-1007,LIV,22,32,17,Min/max,2025-08-31,S. Nkemelu,2019-09-02
VALV-1007,WAR,11,25,6,Manual buyer judgement,2025-06-08,S. Nkemelu,2015-08-28
VALV-1014,DAV,24,24,11,Min/max,2023-07-04,T. Harrowby,2011-07-14
VALV-1024,DAV,11,15,8,Min/max,2025-06-19,A. Whitcombe,2016-12-13
VALV-1024,WAR,9,15,6,Min/max,2025-04-22,R. Deakin,2016-12-13
VALV-1030,DAV,11,15,8,Periodic review,2024-02-29,A. Whitcombe,2015-11-18
VALV-1037,DAV,11,15,8,Periodic review,2024-06-15,T. Harrowby,2019-06-05
VALV-1042,DAV,18,17,9,Min/max,2025-01-05,T. Harrowby,2017-09-27
VALV-1052,DAV,11,15,8,Min/max,2025-02-16,T. Harrowby,2016-04-19
VALV-1056,BRS,8,15,5,Min/max,2024-10-22,M. Castleford,2024-07-01
VALV-1056,DAV,14,33,8,Min/max,2025-05-20,S. Nkemelu,2013-07-30
VALV-1056,LIV,23,42,17,Min/max,2024-12-06,S. Nkemelu,2019-09-02
VALV-1056,WAR,11,28,6,Min/max,2025-11-12,M. Castleford,2014-05-12
VALV-1065,BRS,11,15,5,Periodic review,2025-09-04,T. Harrowby,2024-07-01
VALV-1065,DAV,24,24,11,Manual buyer judgement,2024-01-09,T. Harrowby,2015-11-10
VALV-1065,WAR,18,20,8,Min/max,2025-09-23,T. Harrowby,2015-11-10
VALV-1075,DAV,10,15,8,Periodic review,2025-07-27,T. Harrowby,2022-08-13
VALV-1080,DAV,22,22,10,Periodic review,2024-10-22,M. Castleford,2019-12-16
VALV-1084,BRS,16,15,7,Periodic review,2024-10-20,A. Whitcombe,2024-07-01
VALV-1084,DAV,33,37,13,Periodic review,2025-06-19,M. Castleford,2019-12-13
VALV-1084,LIV,44,47,24,Min/max,2025-01-24,M. Castleford,2019-12-13
VALV-1084,WAR,27,32,10,Min/max,2025-04-30,M. Castleford,2019-12-13
VALV-1091,BRS,17,17,7,Periodic review,2025-04-20,S. Nkemelu,2024-07-01
VALV-1091,DAV,37,43,14,Periodic review,2025-04-12,S. Nkemelu,2011-06-29
VALV-1091,LIV,47,53,25,Periodic review,2025-07-04,A. Whitcombe,2019-09-02
VALV-1091,WAR,29,37,10,Min/max,2025-09-12,T. Harrowby,2014-05-12
VALV-1102,BRS,8,15,5,Min/max,2024-12-18,M. Castleford,2024-07-01
VALV-1102,DAV,14,29,8,Min/max,2025-10-18,M. Castleford,2022-09-28
VALV-1102,LIV,23,37,17,Periodic review,2025-09-16,R. Deakin,2022-09-28
VALV-1102,WAR,11,27,6,Periodic review,2024-12-17,A. Whitcombe,2022-09-28
VALV-1110,BRS,11,15,5,Periodic review,2024-05-18,A. Whitcombe,2024-07-01
VALV-1110,DAV,24,23,11,Min/max,2025-02-28,S. Nkemelu,2019-12-06
VALV-1110,WAR,19,20,8,Min/max,2025-01-06,T. Harrowby,2019-12-06
VALV-1113,DAV,13,15,8,Manual buyer judgement,2024-11-11,S. Nkemelu,2016-09-22
VALV-1121,BRS,17,17,7,Min/max,2025-07-21,T. Harrowby,2024-07-01
VALV-1121,DAV,37,42,14,Periodic review,2025-10-27,A. Whitcombe,2017-06-23
VALV-1121,LIV,49,55,26,Periodic review,2025-02-21,M. Castleford,2019-09-02
VALV-1121,WAR,30,38,10,Min/max,2025-06-25,S. Nkemelu,2017-06-23
VALV-1130,DAV,12,19,8,Min/max,2023-12-27,T. Harrowby,2017-03-29
VALV-1137,DAV,20,19,10,Min/max,2024-11-11,M. Castleford,2022-09-21
VALV-1140,DAV,15,15,8,Min/max,2025-10-04,S. Nkemelu,2015-03-22
VALV-1152,BRS,13,15,6,Min/max,2025-01-25,A. Whitcombe,2024-07-01
VALV-1152,DAV,27,27,12,Periodic review,2025-03-30,A. Whitcombe,2017-12-07
VALV-1152,LIV,35,35,20,Min/max,2025-02-08,R. Deakin,2019-09-02
VALV-1152,WAR,21,24,8,Min/max,2024-09-16,M. Castleford,2017-12-07
VALV-1154,DAV,14,15,8,Periodic review,2025-09-04,T. Harrowby,2012-10-11
VALV-1163,DAV,10,15,8,Periodic review,2025-11-21,R. Deakin,2016-11-07
VALV-1172,DAV,11,15,8,Min/max,2025-02-28,M. Castleford,2019-08-06
VALV-1175,DAV,12,15,8,Manual buyer judgement,2024-03-20,T. Harrowby,2011-07-22
VALV-1187,DAV,11,17,8,Min/max,2025-03-06,A. Whitcombe,2023-02-24
VALV-1192,BRS,21,22,8,Min/max,2025-11-11,T. Harrowby,2024-07-01
VALV-1192,DAV,46,55,16,Periodic review,2025-10-03,A. Whitcombe,2011-11-09
VALV-1192,LIV,59,71,29,Periodic review,2025-07-19,A. Whitcombe,2019-09-02
VALV-1192,WAR,37,48,12,Manual buyer judgement,2025-12-03,S. Nkemelu,2014-05-12
VALV-1196,DAV,10,15,8,Min/max,2025-01-13,T. Harrowby,2017-10-15
VALV-1204,BRS,10,15,5,Min/max,2025-11-13,A. Whitcombe,2024-07-01
VALV-1204,DAV,21,21,10,Min/max,2025-11-23,R. Deakin,2014-02-17
VALV-1204,WAR,17,19,7,Periodic review,2025-09-17,A. Whitcombe,2014-05-12
VALV-1215,DAV,12,21,8,Periodic review,2024-11-09,R. Deakin,2021-09-05
VALV-1215,WAR,10,18,6,Min/max,2025-04-20,M. Castleford,2021-09-05
VENT-1002,DAV,8,18,4,Min/max,2024-01-24,T. Harrowby,2023-04-23
VENT-1009,DAV,6,11,4,Periodic review,2025-07-31,S. Nkemelu,2022-11-11
VENT-1019,BRS,7,11,3,Min/max,2025-05-16,S. Nkemelu,2024-07-01
VENT-1019,DAV,16,26,6,Min/max,2025-06-05,R. Deakin,2017-07-20
VENT-1019,LIV,21,33,11,Manual buyer judgement,2025-03-24,S. Nkemelu,2019-09-02
VENT-1019,WAR,14,25,5,Min/max,2024-03-02,T. Harrowby,2017-07-20
VENT-1026,DAV,5,6,4,Min/max,2025-08-22,M. Castleford,2015-09-06
VENT-1028,DAV,5,6,4,Min/max,2025-05-30,M. Castleford,2019-10-15
VENT-1040,DAV,5,6,4,Periodic review,2024-03-12,M. Castleford,2013-02-13
VENT-1043,DAV,9,12,4,Min/max,2025-02-10,R. Deakin,2020-12-29
VENT-1053,DAV,5,6,4,Manual buyer judgement,2025-05-30,S. Nkemelu,2016-10-14
VENT-1060,DAV,6,6,4,Min/max,2024-12-06,R. Deakin,2019-12-14
VENT-1066,DAV,6,8,4,Min/max,2025-06-25,S. Nkemelu,2022-03-27
VENT-1075,DAV,5,6,4,Min/max,2024-12-02,S. Nkemelu,2022-09-29
VENT-1080,DAV,5,6,4,Periodic review,2024-04-03,A. Whitcombe,2015-05-22
VENT-1084,BRS,4,8,2,Periodic review,2023-08-05,T. Harrowby,2024-07-01
VENT-1084,DAV,8,21,4,Min/max,2023-08-05,T. Harrowby,2019-01-31
VENT-1084,LIV,11,26,7,Periodic review,2024-02-14,A. Whitcombe,2019-09-02
VENT-1084,WAR,7,19,3,Manual buyer judgement,2024-12-14,A. Whitcombe,2019-01-31
VENT-1095,BRS,4,8,2,Min/max,2025-05-26,M. Castleford,2024-07-01
VENT-1095,DAV,8,21,4,Min/max,2025-03-23,A. Whitcombe,2019-08-19
VENT-1095,LIV,11,26,7,Min/max,2024-11-22,S. Nkemelu,2019-09-02
VENT-1095,WAR,6,18,3,Periodic review,2025-08-16,M. Castleford,2019-08-19
VENT-1103,DAV,6,8,4,Min/max,2023-10-07,R. Deakin,2012-12-27
VENT-1105,DAV,5,6,4,Min/max,2023-11-21,R. Deakin,2022-01-09
VENT-1115,DAV,5,6,4,Min/max,2025-11-13,R. Deakin,2021-03-02
VENT-1119,BRS,7,10,3,Min/max,2025-11-01,R. Deakin,2024-07-01
VENT-1119,DAV,16,26,6,Min/max,2024-11-18,T. Harrowby,2021-10-28
VENT-1119,LIV,19,32,10,Min/max,2023-11-07,T. Harrowby,2021-10-28
VENT-1119,WAR,12,22,4,Min/max,2024-10-31,A. Whitcombe,2021-10-28
VENT-1129,DAV,8,9,4,Min/max,2025-02-21,R. Deakin,2016-05-19
VENT-1134,DAV,7,8,4,Min/max,2024-04-21,T. Harrowby,2019-12-11
VENT-1141,DAV,6,6,4,Min/max,2024-11-01,M. Castleford,2018-09-18
VENT-1149,DAV,6,11,4,Periodic review,2024-01-21,T. Harrowby,2018-06-22
VENT-1158,DAV,6,6,4,Min/max,2025-03-17,M. Castleford,2019-05-19
VENT-1161,DAV,5,6,4,Periodic review,2025-03-10,R. Deakin,2016-05-17
VENT-1168,DAV,8,9,4,Min/max,2025-05-28,A. Whitcombe,2011-08-23
VENT-1176,DAV,5,6,4,Min/max,2024-07-14,M. Castleford,2014-04-03
VENT-1185,DAV,6,6,4,Periodic review,2025-06-25,S. Nkemelu,2013-08-31
VENT-1192,DAV,5,6,4,Min/max,2025-04-02,R. Deakin,2023-06-20
VENT-1199,DAV,6,9,4,Manual buyer judgement,2023-09-30,A. Whitcombe,2019-01-10
VENT-1205,DAV,6,7,4,Min/max,2025-03-22,A. Whitcombe,2020-12-26
VENT-1214,BRS,4,7,2,Min/max,2025-10-12,S. Nkemelu,2024-07-01
VENT-1214,DAV,8,18,4,Min/max,2025-05-30,R. Deakin,2021-04-05
VENT-1214,WAR,6,16,3,Min/max,2025-08-31,T. Harrowby,2021-04-05
