purchase_order_number,line_number,sku,quantity_ordered,unit_cost_gbp,line_status
PO-2024-00422,1,DRAIN-1095,144,87.83,Part received
PO-2024-00423,1,TOOL-1115,36,1.03,Received in full
PO-2024-00423,2,PIPE-1214,152,0.42,Received in full
PO-2024-00424,1,VENT-1119,22,631.18,Received in full
PO-2024-00425,1,PIPE-1038,468,1.06,Part received
PO-2024-00426,1,RENW-1031,8,2042.09,Received in full
PO-2024-00426,2,TOOL-1182,37,2.35,Received in full
PO-2024-00426,3,DRAIN-1037,24,22.77,Received in full
PO-2024-00426,4,DRAIN-1098,24,36.16,Received in full
PO-2024-00427,1,DRAIN-1082,24,6.21,Received in full
PO-2024-00428,1,PIPE-1156,154,0.38,Part received
PO-2024-00428,2,VALV-1042,48,9.12,Part received
PO-2024-00428,3,ELEC-1117,224,2.53,Part received
PO-2024-00428,4,PIPE-1025,2079,1.78,Part received
PO-2024-00429,1,ELEC-1134,112,85.86,Part received
PO-2024-00429,2,DRAIN-1145,46,14.52,Received in full
PO-2024-00430,1,VENT-1028,6,394.25,Received in full
PO-2024-00431,1,TOOL-1087,42,2.22,Received in full
PO-2024-00431,2,PIPE-1206,168,0.54,Received in full
PO-2024-00431,3,ELEC-1036,63,2.31,Received in full
PO-2024-00432,1,PIPE-1142,156,0.43,Received in full
PO-2024-00433,1,PIPE-1079,168,0.71,Part received
PO-2024-00433,2,ELEC-1143,288,12.65,Part received
PO-2024-00434,1,PIPE-1109,504,3.42,Received in full
PO-2024-00434,2,VENT-1205,7,24.19,Received in full
PO-2024-00435,1,VENT-1040,6,26.06,Received in full
PO-2024-00436,1,TOOL-1051,77,0.83,Part received
PO-2024-00437,1,PIPE-1029,405,4.31,Part received
PO-2024-00437,2,TOOL-1201,36,11.89,Received in full
PO-2024-00437,3,VALV-1024,15,115.36,Received in full
PO-2024-00438,1,PIPE-1150,791,0.29,Part received
PO-2024-00439,1,ELEC-1197,59,55.58,Part received
PO-2024-00440,1,DRAIN-1113,47,15.63,Received in full
PO-2024-00440,2,HEAT-1054,5,490.82,Received in full
PO-2024-00441,1,HEAT-1200,6,933.83,Part received
PO-2024-00442,1,TOOL-1137,45,21.29,Received in full
PO-2024-00443,1,ELEC-1046,55,50.16,Part received
PO-2024-00444,1,ELEC-1075,54,29.38,Received in full
PO-2024-00444,2,PIPE-1101,290,1.8,Part received
PO-2024-00444,3,VENT-1192,6,501.32,Received in full
PO-2024-00445,1,ELEC-1150,85,14.74,Received in full
PO-2024-00445,2,ELEC-1217,210,101.59,Received in full
PO-2024-00445,3,VENT-1119,26,621.3,Received in full
PO-2024-00445,4,HEAT-1211,8,409.56,Received in full
PO-2024-00446,1,VENT-1043,12,47.92,Received in full
PO-2024-00446,2,DRAIN-1214,35,35.25,Received in full
PO-2024-00446,3,RENW-1081,3,2072.75,Received in full
PO-2024-00447,1,VENT-1115,12,31.56,Received in full
PO-2024-00448,1,VENT-1214,16,160.04,Received in full
PO-2024-00448,2,PIPE-1165,192,14.04,Received in full
PO-2024-00449,1,HEAT-1200,8,954.44,Received in full
PO-2024-00449,2,TOOL-1067,112,7.46,Part received
PO-2024-00449,3,VENT-1019,26,59.01,Received in full
PO-2024-00449,4,DRAIN-1122,24,38.65,Received in full
PO-2024-00450,1,TOOL-1018,80,1.11,Received in full
PO-2024-00450,2,DRAIN-1075,25,62.29,Received in full
PO-2024-00450,3,ELEC-1197,71,54.71,Received in full
PO-2024-00450,4,ELEC-1075,54,29.28,Received in full
PO-2024-00451,1,RENW-1203,6,770.97,Part received
PO-2024-00451,2,HEAT-1009,5,643.57,Received in full
PO-2024-00452,1,PIPE-1168,2118,0.69,Part received
PO-2024-00452,2,TOOL-1163,108,5.51,Received in full
PO-2024-00452,3,TOOL-1149,90,2.46,Part received
PO-2024-00452,4,TOOL-1071,364,2.77,Part received
PO-2024-00453,1,VALV-1110,20,11.68,Part received
PO-2024-00453,2,VALV-1152,24,9.57,Received in full
PO-2024-00454,1,ELEC-1025,54,29.34,Received in full
PO-2024-00455,1,ELEC-1171,54,48.29,Part received
PO-2024-00455,2,VENT-1060,6,120.48,Received in full
PO-2024-00455,3,HEAT-1089,5,481.44,Received in full
PO-2024-00455,4,VENT-1103,8,180.63,Received in full
PO-2024-00456,1,ELEC-1204,145,17.65,Part received
PO-2024-00456,2,VALV-1130,19,18.25,Part received
PO-2024-00456,3,ELEC-1088,140,13.17,Received in full
PO-2024-00457,1,VALV-1007,32,11.64,Received in full
PO-2024-00457,2,TOOL-1137,62,21.35,Received in full
PO-2024-00457,3,RENW-1087,27,1007.47,Received in full
PO-2024-00457,4,VENT-1095,26,143.26,Received in full
PO-2024-00458,1,PIPE-1119,672,6.83,Part received
PO-2024-00459,1,VALV-1172,15,65.27,Received in full
PO-2024-00460,1,VENT-1002,18,59.02,Received in full
PO-2024-00460,2,PIPE-1142,180,0.43,Part received
PO-2024-00461,1,VENT-1040,6,25.92,Received in full
PO-2024-00461,2,VENT-1095,21,141.56,Received in full
PO-2024-00461,3,VENT-1176,6,43.32,Received in full
PO-2024-00461,4,VENT-1009,11,424.48,Received in full
PO-2024-00462,1,VALV-1007,25,11.48,Received in full
PO-2024-00462,2,VENT-1095,18,142.68,Received in full
PO-2024-00463,1,ELEC-1150,75,15.1,Part received
PO-2024-00464,1,DRAIN-1047,69,172.23,Received in full
PO-2024-00465,1,ELEC-1094,156,3.24,Part received
PO-2024-00466,1,TOOL-1175,36,2.78,Received in full
PO-2024-00466,2,HEAT-1016,29,471.39,Received in full
PO-2024-00466,3,RENW-1000,16,1686.01,Received in full
PO-2024-00467,1,PIPE-1029,570,4.27,Part received
PO-2024-00468,1,PIPE-1070,162,13.24,Received in full
PO-2024-00469,1,TOOL-1128,425,2.49,Part received
PO-2024-00469,2,ELEC-1197,59,55.57,Received in full
PO-2024-00469,3,PIPE-1186,152,0.93,Received in full
PO-2024-00469,4,DRAIN-1016,46,73.13,Received in full
PO-2024-00470,1,VENT-1084,48,31.07,Part received
PO-2024-00470,2,TOOL-1031,147,11.2,Part received
PO-2024-00471,1,DRAIN-1016,120,58.47,Part received
PO-2024-00471,2,PIPE-1061,990,1.49,Part received
PO-2024-00472,1,HEAT-1033,7,777.38,Received in full
PO-2024-00472,2,ELEC-1214,168,1.38,Received in full
PO-2024-00472,3,DRAIN-1068,24,9.56,Received in full
PO-2024-00473,1,VALV-1110,23,11.75,Received in full
PO-2024-00473,2,VALV-1152,27,9.5,Received in full
PO-2024-00474,1,DRAIN-1199,24,5.52,Received in full
PO-2024-00475,1,PIPE-1168,930,0.87,Received in full
PO-2024-00475,2,VENT-1053,6,31.01,Received in full
PO-2024-00475,3,RENW-1180,18,1910.26,Received in full
PO-2024-00475,4,RENW-1127,3,1251.87,Received in full
PO-2024-00476,1,PIPE-1109,450,3.4,Received in full
PO-2024-00476,2,PIPE-1119,600,6.92,Part received
PO-2024-00477,1,PIPE-1017,858,0.5,Part received
PO-2024-00478,1,PIPE-1201,1984,11.8,Part received
PO-2024-00479,1,VALV-1140,15,19.27,Received in full
PO-2024-00479,2,VALV-1080,22,128.96,Received in full
PO-2024-00480,1,TOOL-1163,108,5.53,Part received
PO-2024-00480,2,DRAIN-1113,114,11.74,Part received
PO-2024-00480,3,TOOL-1182,90,1.9,Received in full
PO-2024-00480,4,TOOL-1071,364,2.73,Part received
PO-2024-00481,1,PIPE-1064,200,8.17,Received in full
PO-2024-00482,1,DRAIN-1084,24,7.47,Received in full
PO-2024-00483,1,PIPE-1135,150,4.11,Received in full
PO-2024-00483,2,ELEC-1036,63,2.27,Received in full
PO-2024-00484,1,PIPE-1101,666,1.43,Part received
PO-2024-00484,2,ELEC-1184,273,80.07,Part received
PO-2024-00485,1,ELEC-1176,54,13.2,Received in full
PO-2024-00485,2,PIPE-1064,232,8.09,Part received
PO-2024-00485,3,HEAT-1094,5,536.94,Received in full
PO-2024-00486,1,ELEC-1184,112,105.92,Received in full
PO-2024-00486,2,RENW-1145,7,2487.59,Received in full
PO-2024-00487,1,TOOL-1128,510,2.56,Received in full
PO-2024-00487,2,VENT-1214,18,157.51,Received in full
PO-2024-00487,3,PIPE-1206,198,0.55,Received in full
PO-2024-00487,4,RENW-1192,8,1154.63,Received in full
PO-2024-00488,1,ELEC-1094,180,3.18,Part received
PO-2024-00488,2,VENT-1043,12,47.02,Received in full
PO-2024-00489,1,ELEC-1214,144,1.39,Received in full
PO-2024-00489,2,VALV-1215,18,21.15,Received in full
PO-2024-00490,1,HEAT-1200,6,946.41,Received in full
PO-2024-00491,1,PIPE-1094,198,7.64,Part received
PO-2024-00492,1,VENT-1141,6,166.29,Received in full
PO-2024-00492,2,ELEC-1162,54,23.42,Received in full
PO-2024-00492,3,RENW-1212,4,1980.02,Received in full
PO-2024-00493,1,VALV-1007,25,11.58,Received in full
PO-2024-00493,2,ELEC-1025,54,29.21,Received in full
PO-2024-00493,3,VALV-1102,27,61.11,Received in full
PO-2024-00493,4,DRAIN-1179,120,104.16,Received in full
PO-2024-00494,1,VALV-1065,20,91.74,Received in full
PO-2024-00495,1,ELEC-1217,266,102.7,Received in full
PO-2024-00496,1,PIPE-1101,666,1.4,Part received
PO-2024-00497,1,PIPE-1165,510,11.07,Part received
PO-2024-00497,2,VALV-1152,66,6.61,Received in full
PO-2024-00497,3,VENT-1019,66,43.08,Received in full
PO-2024-00498,1,RENW-1095,4,2135.15,Received in full
PO-2024-00499,1,PIPE-1079,168,0.71,Part received
PO-2024-00500,1,ELEC-1057,54,4.06,Received in full
PO-2024-00500,2,ELEC-1107,180,2.46,Part received
PO-2024-00501,1,ELEC-1134,104,86.72,Received in full
PO-2024-00502,1,PIPE-1064,272,8.13,Part received
PO-2024-00503,1,DRAIN-1106,54,9.59,Received in full
PO-2024-00504,1,PIPE-1201,1664,11.54,Part received
PO-2024-00505,1,RENW-1152,6,1938.79,Received in full
PO-2024-00505,2,ELEC-1134,112,86.08,Received in full
PO-2024-00505,3,RENW-1035,9,1401.31,Received in full
PO-2024-00506,1,TOOL-1018,80,1.09,Part received
PO-2024-00506,2,TOOL-1124,36,22.0,Received in full
PO-2024-00506,3,ELEC-1036,76,2.32,Received in full
PO-2024-00506,4,TOOL-1087,51,2.21,Received in full
PO-2024-00507,1,TOOL-1087,42,2.18,Received in full
PO-2024-00507,2,VENT-1214,16,157.76,Received in full
PO-2024-00507,3,DRAIN-1016,46,74.94,Received in full
PO-2024-00507,4,TOOL-1219,37,0.85,Received in full
PO-2024-00508,1,PIPE-1142,156,0.43,Received in full
PO-2024-00509,1,TOOL-1163,108,5.54,Part received
PO-2024-00509,2,VALV-1102,84,48.64,Part received
PO-2024-00509,3,PIPE-1025,2079,1.76,Part received
PO-2024-00510,1,VALV-1154,15,69.25,Received in full
PO-2024-00510,2,VALV-1137,19,65.1,Received in full
PO-2024-00511,1,DRAIN-1047,81,171.56,Received in full
PO-2024-00511,2,HEAT-1089,5,481.33,Received in full
PO-2024-00512,1,ELEC-1217,182,102.6,Received in full
PO-2024-00512,2,VENT-1119,22,638.01,Received in full
PO-2024-00513,1,DRAIN-1095,55,106.94,Received in full
PO-2024-00513,2,PIPE-1126,150,7.41,Part received
PO-2024-00514,1,DRAIN-1214,29,34.86,Part received
PO-2024-00515,1,VALV-1196,15,35.36,Received in full
PO-2024-00515,2,VALV-1102,29,60.51,Received in full
PO-2024-00515,3,RENW-1100,26,666.3,Received in full
PO-2024-00515,4,DRAIN-1075,25,61.72,Received in full
PO-2024-00516,1,ELEC-1217,210,102.9,Part received
PO-2024-00516,2,DRAIN-1051,24,126.77,Received in full
PO-2024-00516,3,RENW-1122,5,1108.08,Received in full
PO-2024-00516,4,VENT-1119,26,629.03,Received in full
PO-2024-00517,1,DRAIN-1009,24,7.18,Received in full
PO-2024-00517,2,ELEC-1158,54,5.09,Received in full
PO-2024-00518,1,ELEC-1049,338,34.85,Part received
PO-2024-00518,2,TOOL-1182,36,2.38,Received in full
PO-2024-00519,1,TOOL-1137,45,21.55,Received in full
PO-2024-00519,2,PIPE-1206,168,0.56,Received in full
PO-2024-00519,3,PIPE-1214,152,0.43,Received in full
PO-2024-00519,4,HEAT-1130,8,656.84,Received in full
PO-2024-00520,1,HEAT-1016,6,463.78,Received in full
PO-2024-00520,2,VENT-1084,8,39.12,Received in full
PO-2024-00520,3,PIPE-1109,216,3.38,Part received
PO-2024-00520,4,HEAT-1064,5,273.68,Received in full
PO-2024-00521,1,ELEC-1134,144,86.19,Received in full
PO-2024-00522,1,PIPE-1070,162,13.29,Part received
PO-2024-00522,2,PIPE-1109,504,3.47,Part received
PO-2024-00522,3,TOOL-1214,36,9.82,Received in full
PO-2024-00522,4,VENT-1205,7,24.89,Received in full
PO-2024-00523,1,PIPE-1088,308,0.27,Part received
PO-2024-00523,2,TOOL-1067,258,5.78,Part received
PO-2024-00524,1,VALV-1007,32,11.52,Received in full
PO-2024-00524,2,HEAT-1103,7,198.72,Received in full
PO-2024-00524,3,VENT-1026,6,53.2,Received in full
PO-2024-00524,4,ELEC-1197,71,54.52,Part received
PO-2024-00525,1,DRAIN-1158,100,78.24,Received in full
PO-2024-00526,1,ELEC-1107,156,2.42,Part received
PO-2024-00526,2,PIPE-1025,689,2.32,Part received
PO-2024-00527,1,RENW-1087,9,1000.65,Received in full
PO-2024-00527,2,PIPE-1101,150,1.8,Received in full
PO-2024-00527,3,PIPE-1004,152,1.63,Received in full
PO-2024-00527,4,PIPE-1135,150,4.1,Part received
PO-2024-00528,1,VENT-1075,6,179.81,Received in full
PO-2024-00529,1,VENT-1149,11,47.32,Received in full
PO-2024-00529,2,PIPE-1168,930,0.87,Received in full
PO-2024-00529,3,HEAT-1168,5,491.24,Received in full
PO-2024-00529,4,TOOL-1124,36,21.79,Received in full
PO-2024-00530,1,VENT-1168,9,214.57,Received in full
PO-2024-00531,1,DRAIN-1179,55,104.36,Received in full
PO-2024-00531,2,RENW-1100,13,660.96,Received in full
PO-2024-00531,3,TOOL-1137,36,21.52,Received in full
PO-2024-00531,4,PIPE-1165,152,14.33,Received in full
PO-2024-00532,1,ELEC-1143,56,16.53,Received in full
PO-2024-00532,2,DRAIN-1113,24,15.36,Received in full
PO-2024-00532,3,PIPE-1064,152,8.28,Part received
PO-2024-00533,1,TOOL-1182,36,2.37,Received in full
PO-2024-00533,2,DRAIN-1106,24,9.44,Received in full
PO-2024-00534,1,VENT-1158,6,114.29,Received in full
PO-2024-00534,2,ELEC-1204,145,17.44,Received in full
PO-2024-00534,3,RENW-1186,4,1441.42,Received in full
PO-2024-00535,1,VENT-1199,9,65.61,Received in full
PO-2024-00535,2,VENT-1066,8,42.95,Received in full
PO-2024-00536,1,RENW-1061,8,1683.02,Received in full
PO-2024-00537,1,VENT-1019,11,59.63,Received in full
PO-2024-00537,2,PIPE-1061,203,2.03,Part received
PO-2024-00537,3,PIPE-1044,294,14.76,Part received
PO-2024-00537,4,TOOL-1067,48,7.49,Received in full
PO-2024-00538,1,VALV-1007,18,11.62,Received in full
PO-2024-00538,2,TOOL-1018,36,1.1,Received in full
PO-2024-00538,3,HEAT-1130,5,658.79,Received in full
PO-2024-00538,4,PIPE-1214,152,0.42,Received in full
PO-2024-00539,1,PIPE-1061,180,2.1,Part received
PO-2024-00539,2,VALV-1192,22,38.03,Received in full
PO-2024-00539,3,VALV-1204,15,38.41,Received in full
PO-2024-00539,4,VALV-1091,17,67.94,Received in full
PO-2024-00540,1,ELEC-1131,60,19.69,Received in full
PO-2024-00540,2,HEAT-1124,5,661.4,Received in full
PO-2024-00541,1,TOOL-1018,180,0.86,Part received
PO-2024-00541,2,PIPE-1038,468,1.06,Part received
PO-2024-00541,3,RENW-1000,42,1326.8,Part received
PO-2024-00542,1,RENW-1203,6,764.74,Received in full
PO-2024-00543,1,DRAIN-1122,24,38.27,Received in full
PO-2024-00543,2,VENT-1019,26,59.23,Received in full
PO-2024-00543,3,HEAT-1039,5,260.0,Received in full
PO-2024-00543,4,PIPE-1061,406,2.07,Part received
PO-2024-00544,1,PIPE-1189,150,1.1,Part received
PO-2024-00545,1,VENT-1119,10,633.79,Received in full
PO-2024-00545,2,ELEC-1184,56,106.07,Received in full
PO-2024-00545,3,ELEC-1217,98,102.19,Received in full
PO-2024-00545,4,TOOL-1092,40,30.43,Received in full
PO-2024-00546,1,ELEC-1107,72,2.46,Received in full
PO-2024-00546,2,TOOL-1077,42,2.59,Received in full
PO-2024-00546,3,PIPE-1025,318,2.34,Part received
PO-2024-00547,1,DRAIN-1016,53,74.41,Received in full
PO-2024-00547,2,TOOL-1137,52,21.22,Received in full
PO-2024-00547,3,VENT-1009,11,429.68,Received in full
PO-2024-00547,4,HEAT-1130,10,654.43,Part received
PO-2024-00548,1,DRAIN-1033,24,8.78,Received in full
PO-2024-00549,1,HEAT-1203,5,596.41,Received in full
PO-2024-00550,1,PIPE-1142,228,0.42,Received in full
PO-2024-00550,2,ELEC-1049,481,34.51,Received in full
PO-2024-00551,1,TOOL-1115,36,1.03,Received in full
PO-2024-00551,2,TOOL-1018,80,1.11,Received in full
PO-2024-00551,3,VENT-1185,6,71.85,Received in full
PO-2024-00551,4,DRAIN-1179,145,102.48,Received in full
PO-2024-00552,1,PIPE-1135,150,4.07,Received in full
PO-2024-00552,2,ELEC-1025,54,29.44,Part received
PO-2024-00553,1,TOOL-1021,238,1.34,Part received
PO-2024-00553,2,TOOL-1071,364,2.72,Part received
PO-2024-00553,3,TOOL-1144,90,1.05,Part received
PO-2024-00553,4,DRAIN-1016,120,57.55,Part received
PO-2024-00554,1,DRAIN-1095,144,86.51,Part received
PO-2024-00554,2,PIPE-1150,791,0.29,Part received
PO-2024-00555,1,PIPE-1165,208,14.17,Part received
PO-2024-00555,2,VENT-1176,6,43.28,Received in full
PO-2024-00556,1,VENT-1060,6,119.9,Received in full
PO-2024-00557,1,HEAT-1200,6,958.08,Received in full
PO-2024-00557,2,PIPE-1061,377,2.08,Part received
PO-2024-00558,1,VENT-1214,7,160.49,Received in full
PO-2024-00558,2,VENT-1095,8,141.5,Received in full
PO-2024-00558,3,TOOL-1219,36,0.85,Received in full
PO-2024-00559,1,PIPE-1029,180,4.28,Part received
PO-2024-00559,2,TOOL-1201,36,11.97,Received in full
PO-2024-00560,1,ELEC-1214,66,1.41,Received in full
PO-2024-00560,2,PIPE-1189,150,1.1,Received in full
PO-2024-00561,1,PIPE-1038,468,1.08,Part received
PO-2024-00561,2,TOOL-1047,36,1.0,Part received
PO-2024-00561,3,VALV-1215,48,16.79,Received in full
PO-2024-00561,4,RENW-1042,13,581.92,Received in full
PO-2024-00562,1,VALV-1152,24,9.14,Received in full
PO-2024-00562,2,VALV-1065,20,93.66,Received in full
PO-2024-00563,1,TOOL-1175,36,2.8,Received in full
PO-2024-00564,1,PIPE-1201,5061,9.79,Part received
PO-2024-00565,1,VALV-1121,17,82.97,Part received
PO-2024-00566,1,VALV-1121,55,82.78,Received in full
PO-2024-00567,1,RENW-1095,4,2127.79,Received in full
PO-2024-00567,2,TOOL-1100,36,22.35,Received in full
PO-2024-00568,1,PIPE-1070,162,13.0,Received in full
PO-2024-00569,1,VALV-1137,42,46.02,Part received
PO-2024-00570,1,VENT-1043,12,47.21,Received in full
PO-2024-00570,2,HEAT-1192,7,263.3,Received in full
PO-2024-00571,1,PIPE-1017,858,0.5,Part received
PO-2024-00571,2,ELEC-1094,408,2.29,Part received
PO-2024-00572,1,HEAT-1082,9,205.26,Received in full
PO-2024-00573,1,VENT-1129,9,53.85,Received in full
PO-2024-00573,2,DRAIN-1056,24,23.17,Received in full
PO-2024-00573,3,ELEC-1005,54,27.58,Received in full
PO-2024-00573,4,DRAIN-1084,24,7.52,Received in full
PO-2024-00574,1,TOOL-1219,52,0.86,Received in full
PO-2024-00574,2,RENW-1100,61,647.67,Received in full
PO-2024-00574,3,TOOL-1018,98,1.1,Received in full
PO-2024-00575,1,RENW-1152,6,1891.5,Received in full
PO-2024-00575,2,ELEC-1194,68,51.18,Received in full
PO-2024-00575,3,ELEC-1134,112,87.04,Part received
PO-2024-00576,1,TOOL-1144,90,1.04,Received in full
PO-2024-00576,2,VENT-1168,24,150.53,Received in full
PO-2024-00576,3,PIPE-1044,1666,11.21,Part received
PO-2024-00576,4,TOOL-1092,182,23.13,Part received
PO-2024-00577,1,PIPE-1004,208,1.63,Received in full
PO-2024-00577,2,TOOL-1128,425,2.53,Part received
PO-2024-00577,3,HEAT-1142,10,432.05,Received in full
PO-2024-00578,1,DRAIN-1158,264,60.82,Part received
PO-2024-00578,2,PIPE-1150,791,0.29,Part received
PO-2024-00578,3,DRAIN-1095,144,87.19,Part received
PO-2024-00579,1,VENT-1095,8,143.46,Received in full
PO-2024-00579,2,PIPE-1101,150,1.8,Received in full
PO-2024-00579,3,PIPE-1206,150,0.54,Received in full
PO-2024-00579,4,PIPE-1168,372,0.88,Part received
PO-2024-00580,1,RENW-1158,3,2771.38,Received in full
PO-2024-00580,2,PIPE-1186,152,0.91,Received in full
PO-2024-00580,3,DRAIN-1082,24,6.05,Part received
PO-2024-00580,4,PIPE-1135,180,4.09,Part received
PO-2024-00581,1,PIPE-1186,315,0.7,Part received
PO-2024-00581,2,ELEC-1046,196,37.93,Part received
PO-2024-00581,3,RENW-1053,24,1894.59,Part received
PO-2024-00581,4,TOOL-1056,36,9.33,Part received
PO-2024-00582,1,DRAIN-1192,29,115.14,Received in full
PO-2024-00582,2,ELEC-1014,54,2.62,Received in full
PO-2024-00582,3,VENT-1066,8,42.28,Received in full
PO-2024-00582,4,VENT-1199,9,64.93,Received in full
PO-2024-00583,1,VALV-1121,38,81.96,Received in full
PO-2024-00584,1,ELEC-1088,125,13.36,Received in full
PO-2024-00585,1,TOOL-1128,1140,2.09,Part received
PO-2024-00586,1,DRAIN-1161,154,5.75,Part received
PO-2024-00586,2,VALV-1152,66,6.55,Received in full
PO-2024-00587,1,DRAIN-1179,175,101.84,Received in full
PO-2024-00588,1,DRAIN-1047,100,174.12,Received in full
PO-2024-00589,1,RENW-1192,8,1166.01,Received in full
PO-2024-00589,2,RENW-1201,3,1011.27,Received in full
PO-2024-00589,3,VALV-1196,15,35.67,Received in full
PO-2024-00589,4,VENT-1149,11,48.49,Received in full
PO-2024-00590,1,PIPE-1201,1984,11.78,Part received
PO-2024-00590,2,VENT-1158,6,115.42,Received in full
PO-2024-00591,1,ELEC-1094,180,3.2,Part received
PO-2024-00591,2,DRAIN-1214,35,35.02,Received in full
PO-2024-00591,3,VENT-1043,12,47.46,Received in full
PO-2024-00592,1,PIPE-1064,200,8.2,Received in full
PO-2024-00592,2,ELEC-1143,104,16.29,Received in full
PO-2024-00593,1,ELEC-1204,60,17.54,Received in full
PO-2024-00594,1,ELEC-1094,408,2.3,Part received
PO-2024-00594,2,PIPE-1017,858,0.5,Part received
PO-2024-00595,1,VALV-1172,15,65.94,Received in full
PO-2024-00595,2,DRAIN-1047,81,170.69,Received in full
PO-2024-00595,3,VENT-1060,6,122.01,Received in full
PO-2024-00596,1,TOOL-1201,36,11.93,Received in full
PO-2024-00596,2,VENT-1075,6,178.75,Received in full
PO-2024-00596,3,PIPE-1126,150,7.51,Part received
PO-2024-00596,4,VALV-1163,15,73.91,Received in full
PO-2024-00597,1,VENT-1084,48,31.19,Part received
PO-2024-00598,1,VENT-1205,7,24.24,Received in full
PO-2024-00598,2,HEAT-1112,5,308.57,Received in full
PO-2024-00598,3,PIPE-1119,672,6.94,Part received
PO-2024-00599,1,TOOL-1219,44,0.86,Received in full
PO-2024-00599,2,TOOL-1128,510,2.51,Part received
PO-2024-00599,3,VENT-1095,21,142.23,Received in full
PO-2024-00599,4,VENT-1185,6,71.39,Received in full
PO-2024-00600,1,VENT-1095,18,145.37,Received in full
PO-2024-00601,1,ELEC-1150,75,15.02,Part received
PO-2024-00601,2,HEAT-1211,7,403.04,Part received
PO-2024-00602,1,DRAIN-1047,33,171.42,Received in full
PO-2024-00603,1,VENT-1084,8,39.26,Received in full
PO-2024-00603,2,PIPE-1119,288,6.84,Part received
PO-2024-00603,3,TOOL-1175,36,2.79,Received in full
PO-2024-00604,1,DRAIN-1113,114,11.55,Part received
PO-2024-00604,2,TOOL-1182,90,1.9,Part received
PO-2024-00604,3,PIPE-1044,1666,11.01,Part received
PO-2024-00604,4,PIPE-1025,2079,1.78,Part received
PO-2024-00605,1,TOOL-1192,36,4.1,Received in full
PO-2024-00606,1,PIPE-1119,600,6.76,Received in full
PO-2024-00607,1,VENT-1214,7,158.0,Received in full
PO-2024-00607,2,VALV-1102,15,61.74,Received in full
PO-2024-00607,3,VALV-1007,18,11.6,Received in full
PO-2024-00608,1,HEAT-1082,20,208.98,Received in full
PO-2024-00609,1,RENW-1000,19,1706.45,Received in full
PO-2024-00610,1,DRAIN-1122,24,38.92,Received in full
PO-2024-00610,2,HEAT-1200,8,951.7,Received in full
PO-2024-00611,1,VENT-1019,11,58.86,Received in full
PO-2024-00611,2,TOOL-1067,48,7.45,Received in full
PO-2024-00612,1,HEAT-1082,15,208.57,Received in full
PO-2024-00612,2,RENW-1161,9,705.24,Received in full
PO-2024-00613,1,RENW-1095,4,2151.04,Received in full
PO-2024-00614,1,VENT-1103,8,183.88,Received in full
PO-2024-00615,1,DRAIN-1145,46,14.37,Part received
PO-2024-00616,1,DRAIN-1158,100,78.53,Received in full
PO-2024-00616,2,PIPE-1142,156,0.43,Part received
PO-2024-00617,1,ELEC-1094,408,2.34,Part received
PO-2024-00618,1,VENT-1119,10,631.36,Received in full
PO-2024-00618,2,HEAT-1211,5,410.54,Received in full
PO-2024-00619,1,TOOL-1163,36,6.72,Received in full
PO-2024-00620,1,VENT-1141,6,167.08,Received in full
PO-2024-00620,2,RENW-1212,4,1973.78,Received in full
PO-2024-00621,1,ELEC-1171,54,49.17,Received in full
PO-2024-00622,1,DRAIN-1145,24,14.28,Part received
PO-2024-00623,1,PIPE-1165,510,10.95,Part received
PO-2024-00623,2,VENT-1019,66,42.95,Received in full
PO-2024-00624,1,VALV-1014,24,38.99,Received in full
PO-2024-00624,2,PIPE-1061,414,2.12,Part received
PO-2024-00624,3,VALV-1065,24,92.13,Received in full
PO-2024-00624,4,VALV-1140,15,19.41,Received in full
PO-2024-00625,1,ELEC-1217,210,103.42,Part received
PO-2024-00626,1,DRAIN-1138,24,151.95,Received in full
PO-2024-00626,2,DRAIN-1130,25,58.55,Received in full
PO-2024-00626,3,VENT-1205,7,24.72,Received in full
PO-2024-00626,4,RENW-1010,7,2787.84,Received in full
PO-2024-00627,1,DRAIN-1199,24,5.45,Received in full
PO-2024-00627,2,ELEC-1107,180,2.45,Received in full
PO-2024-00628,1,VENT-1019,25,59.31,Received in full
PO-2024-00628,2,TOOL-1155,36,36.42,Part received
PO-2024-00628,3,TOOL-1067,104,7.53,Received in full
PO-2024-00629,1,ELEC-1117,54,3.46,Received in full
PO-2024-00630,1,VENT-1119,22,621.07,Received in full
PO-2024-00631,1,VALV-1024,15,117.57,Received in full
PO-2024-00632,1,HEAT-1016,6,469.2,Received in full
PO-2024-00632,2,PIPE-1109,216,3.46,Received in full
PO-2024-00633,1,ELEC-1107,72,2.49,Received in full
PO-2024-00633,2,TOOL-1077,42,2.59,Received in full
PO-2024-00634,1,TOOL-1137,36,21.15,Received in full
PO-2024-00634,2,DRAIN-1179,55,102.9,Received in full
PO-2024-00634,3,RENW-1087,9,998.25,Received in full
PO-2024-00635,1,VENT-1119,32,633.67,Received in full
PO-2024-00635,2,TOOL-1092,85,30.32,Received in full
PO-2024-00636,1,PIPE-1109,1400,2.74,Part received
PO-2024-00636,2,VALV-1056,78,19.53,Part received
PO-2024-00636,3,TOOL-1110,144,16.05,Part received
PO-2024-00637,1,ELEC-1107,228,2.47,Received in full
PO-2024-00637,2,TOOL-1077,126,2.59,Part received
