sku,product_name,category_code,brand,unit_of_measure,list_price_gbp,standard_cost_gbp,unit_weight_kg,unit_volume_m3,pallet_quantity,shelf_life_months,introduced_date,discontinued_date,hazardous_flag
DRAIN-1095,Culvert Inspection Chamber 24kW,DRAIN,Culvert,EACH,166.0,107.81,40.036,0.448,192,,2021-04-05,,False
DRAIN-1098,Hydralt Underground Pipe 300ml,DRAIN,Hydralt,METRE,57.45,36.37,30.775,0.408,128,,2020-10-24,,False
DRAIN-1106,Culvert Channel Drain 32kW,DRAIN,Culvert,EACH,15.27,9.63,8.384,0.4874,150,,2011-03-31,,False
DRAIN-1113,Culvert Channel Drain 1.5m,DRAIN,Culvert,EACH,24.68,15.28,55.435,0.1103,16,,2020-08-21,,False
DRAIN-1122,Hydralt Inspection Chamber 28mm,DRAIN,Hydralt,EACH,59.69,37.39,14.439,0.7476,88,,2018-10-16,,False
DRAIN-1130,Foxley Underground Pipe 125mm,DRAIN,Foxley,METRE,93.25,58.99,51.379,0.3464,86,,2013-02-21,,False
DRAIN-1138,Foxley Inspection Chamber 18kW,DRAIN,Foxley,EACH,233.0,151.95,31.724,0.2707,113,,2013-07-22,,False
DRAIN-1145,Hydralt Bottle Gully 300ml,DRAIN,Hydralt,EACH,22.29,13.78,,,4,,2016-03-28,,False
DRAIN-1148,Foxley Underground Pipe 6.0mm2,DRAIN,Foxley,METRE,12.81,8.33,23.484,0.5935,195,,2023-07-20,,False
DRAIN-1158,Hydralt Submersible Pump 9kW,DRAIN,Hydralt,EACH,121.0,77.02,36.643,0.0833,179,,2020-10-30,,False
DRAIN-1161,Hydralt Inspection Chamber 32kW,DRAIN,Hydralt,EACH,11.17,7.23,52.829,0.771,4,,2015-12-23,,False
DRAIN-1173,Culvert Channel Drain 9kW,DRAIN,Culvert,EACH,310.0,190.86,58.826,0.762,147,,2017-07-29,,False
DRAIN-1179,Culvert Submersible Pump 6kW,DRAIN,Culvert,EACH,154.0,100.64,54.721,0.1303,67,,2018-09-12,,False
DRAIN-1186,Culvert Channel Drain 32kW,DRAIN,Culvert,EACH,77.74,48.03,32.486,0.4804,20,,2021-07-31,,False
DRAIN-1192,Hydralt Inspection Chamber 100mm,DRAIN,Hydralt,EACH,188.0,117.72,27.573,0.5216,41,,2022-10-09,,False
DRAIN-1199,Culvert Underground Pipe 35mm,DRAIN,Culvert,METRE,8.11,5.1,3.499,0.0795,17,,2022-02-09,,False
DRAIN-1204,Culvert Underground Pipe 6kW,DRAIN,Culvert,METRE,10.07,6.4,58.206,0.6561,182,,2023-05-30,,False
DRAIN-1214,Foxley Submersible Pump 6kW,DRAIN,Foxley,EACH,54.05,32.7,30.74,0.3599,80,,2013-07-13,,False
TOOL-1003,Gripwell Fixing Pack 9kW,TOOL,Gripwell,EACH,45.69,28.02,17.546,0.7973,85,18.0,2015-02-12,,False
TOOL-1007,Haldane Silicone Sealant 32kW,TOOL,Haldane,EACH,3.0,1.84,13.661,0.2575,123,,2018-08-28,,False
TOOL-1018,Sitemark Reciprocating Blade 15mm,TOOL,Sitemark,EACH,1.87,1.09,30.86,0.3316,73,24.0,2020-08-25,,False
TOOL-1021,Haldane Nitrile Gloves 28mm,TOOL,Haldane,EACH,2.93,1.7,45.946,0.4548,58,,2015-04-11,,True
TOOL-1031,Haldane Silicone Sealant 110mm,TOOL,Haldane,EACH,23.1,14.0,43.391,0.0437,46,,2020-06-14,,False
TOOL-1037,Gripwell Reciprocating Blade 2.5mm2,TOOL,Gripwell,EACH,3.24,1.91,33.257,0.3989,162,24.0,2022-03-30,,False
TOOL-1047,Sitemark Fixing Pack 18kW,TOOL,Sitemark,EACH,2.2,1.31,5.7,0.4391,33,,2015-04-15,,False
TOOL-1051,Gripwell Fixing Pack 24kW,TOOL,Gripwell,EACH,1.66,1.03,56.664,0.6381,15,18.0,2017-07-01,,False
TOOL-1056,Haldane Pipe Slice 6.0mm2,TOOL,Haldane,METRE,19.03,11.57,6.37,0.454,180,12.0,2019-11-03,,False
TOOL-1067,Gripwell Pipe Slice 6kW,TOOL,Gripwell,METRE,12.5,7.22,29.18,0.7968,71,,2012-03-21,,False
TOOL-1071,Haldane Fixing Pack 300ml,TOOL,Haldane,EACH,5.51,3.39,52.015,0.569,112,12.0,2015-11-12,,False
TOOL-1077,Gripwell Nitrile Gloves 9kW,TOOL,Gripwell,EACH,3.97,2.41,57.682,0.6285,108,12.0,2020-11-28,,False
TOOL-1087,Haldane Silicone Sealant 15mm,TOOL,Haldane,EACH,3.85,2.22,36.819,0.4061,61,12.0,2014-07-15,,False
TOOL-1092,Gripwell Pipe Slice 18kW,TOOL,Gripwell,METRE,49.2,28.82,54.197,0.7619,133,18.0,2014-07-22,,False
TOOL-1100,Haldane Reciprocating Blade 6.0mm2,TOOL,Haldane,EACH,37.35,22.18,46.501,0.1484,124,18.0,2012-02-04,,False
TOOL-1110,Haldane Fixing Pack 100mm,TOOL,Haldane,EACH,34.74,20.14,20.162,0.3253,174,12.0,2019-01-10,,True
TOOL-1115,Gripwell Fixing Pack 15mm,TOOL,Gripwell,EACH,1.68,1.01,7.623,0.5475,144,12.0,2011-04-11,,True
TOOL-1124,Sitemark Fixing Pack 1.5m,TOOL,Sitemark,EACH,37.97,22.54,,,168,,2023-06-15,,False
TOOL-1128,Gripwell Silicone Sealant 1.5m,TOOL,Gripwell,EACH,4.09,2.55,4.543,0.5266,144,24.0,2013-11-05,,True
TOOL-1137,Gripwell Fixing Pack 2.5mm2,TOOL,Gripwell,EACH,33.85,20.8,0.435,0.8435,122,,2019-08-29,,False
TOOL-1144,Haldane Silicone Sealant 18kW,TOOL,Haldane,EACH,2.26,1.36,32.034,0.4047,83,,2012-05-04,,False
TOOL-1149,Haldane Nitrile Gloves 110mm,TOOL,Haldane,EACH,5.28,3.14,,,12,18.0,2018-01-25,,True
TOOL-1155,Gripwell Pipe Slice 6kW,TOOL,Gripwell,METRE,53.33,33.09,28.903,0.3469,95,24.0,2016-02-04,,False
TOOL-1163,Sitemark Fixing Pack 110mm,TOOL,Sitemark,EACH,11.08,6.83,13.444,0.0507,125,18.0,2018-02-08,,False
TOOL-1171,Gripwell Fixing Pack 6kW,TOOL,Gripwell,EACH,27.22,16.45,38.483,0.6341,174,12.0,2017-10-27,,False
TOOL-1175,Haldane Silicone Sealant 9kW,TOOL,Haldane,EACH,4.77,2.78,24.502,0.194,44,18.0,2017-05-14,,False
TOOL-1182,Haldane Fixing Pack 18kW,TOOL,Haldane,EACH,4.04,2.36,23.784,0.4264,116,24.0,2018-04-03,,False
TOOL-1192,Haldane Fixing Pack 28mm,TOOL,Haldane,EACH,6.72,4.02,23.334,0.6229,198,,2013-09-05,,True
TOOL-1201,Haldane Reciprocating Blade 15mm,TOOL,Haldane,EACH,19.52,12.07,58.412,0.2953,48,12.0,2012-05-29,,False
TOOL-1205,Sitemark Reciprocating Blade 6kW,TOOL,Sitemark,EACH,2.47,1.5,45.087,0.3543,131,24.0,2011-09-16,,False
TOOL-1214,Haldane Pipe Slice 24kW,TOOL,Haldane,METRE,16.74,9.72,50.641,0.8583,176,,2011-08-09,,False
TOOL-1219,Haldane Fixing Pack 100mm,TOOL,Haldane,EACH,1.5,0.87,42.075,0.0754,63,,2015-01-04,,False
