sales_order_number,customer_account,warehouse_code,order_date,requested_delivery_date,despatch_date,order_channel,order_status
SO-2024-00941,C1389,DAV,2024-03-08,2024-03-14,2024-03-08,Account manager,Despatched
SO-2024-00942,C1599,DAV,2024-03-08,2024-03-14,2024-03-13,Telephone,Part despatched
SO-2024-00943,C1389,DAV,2024-03-08,2024-03-13,2024-03-12,Trade counter,Despatched
SO-2024-00944,C1211,DAV,2024-03-08,2024-03-11,2024-03-08,Telephone,Despatched
SO-2024-00945,C1948,WAR,2024-03-08,2024-03-12,2024-03-08,Telephone,Despatched
SO-2024-00946,C1802,WAR,2024-03-08,2024-03-11,2024-03-08,Telephone,Despatched
SO-2024-00947,C1441,WAR,2024-03-08,2024-03-12,2024-03-08,Web,Despatched
SO-2024-00948,C1950,WAR,2024-03-08,2024-03-14,2024-03-08,Account manager,Part despatched
SO-2024-00949,C1032,WAR,2024-03-08,2024-03-14,2024-03-11,Trade counter,Despatched
SO-2024-00950,C1010,WAR,2024-03-08,2024-03-11,2024-03-08,Trade counter,Despatched
SO-2024-00951,C1032,WAR,2024-03-08,2024-03-13,2024-03-08,Trade counter,Despatched
SO-2024-00952,C1492,WAR,2024-03-08,2024-03-12,2024-03-08,Trade counter,Part despatched
SO-2024-00953,C1600,LIV,2024-03-08,2024-03-12,2024-03-08,Web,Despatched
SO-2024-00954,C1715,LIV,2024-03-08,2024-03-13,2024-03-08,Web,Part despatched
SO-2024-00955,C1835,LIV,2024-03-08,2024-03-11,2024-03-08,Trade counter,Despatched
SO-2024-00956,C1743,DAV,2024-03-11,2024-03-14,2024-03-12,Web,Despatched
SO-2024-00957,C1366,DAV,2024-03-11,2024-03-15,2024-03-12,Account manager,Despatched
SO-2024-00958,C1648,DAV,2024-03-11,2024-03-13,2024-03-11,Telephone,Despatched
SO-2024-00959,C1066,DAV,2024-03-11,2024-03-15,2024-03-12,Trade counter,Part despatched
SO-2024-00960,C1211,DAV,2024-03-11,2024-03-15,2024-03-11,Web,Despatched
SO-2024-00961,C1554,DAV,2024-03-11,2024-03-12,2024-03-11,Web,Despatched
SO-2024-00962,C1290,DAV,2024-03-11,2024-03-12,2024-03-11,Trade counter,Despatched
SO-2024-00963,C1616,DAV,2024-03-11,2024-03-15,2024-03-12,Trade counter,Despatched
SO-2024-00964,C1551,DAV,2024-03-11,2024-03-13,2024-03-11,Web,Despatched
SO-2024-00965,C1563,DAV,2024-03-11,2024-03-15,2024-03-13,Account manager,Part despatched
SO-2024-00966,C1234,WAR,2024-03-11,2024-03-15,2024-03-11,Telephone,Despatched
SO-2024-00967,C1713,WAR,2024-03-11,2024-03-12,2024-03-11,Trade counter,Part despatched
SO-2024-00968,C1581,WAR,2024-03-11,2024-03-12,2024-03-11,Account manager,Despatched
SO-2024-00969,C1215,WAR,2024-03-11,2024-03-12,2024-03-12,Account manager,Despatched
SO-2024-00970,C1871,WAR,2024-03-11,2024-03-15,2024-03-11,Telephone,Despatched
SO-2024-00971,C1168,LIV,2024-03-11,2024-03-12,2024-03-11,Account manager,Part despatched
SO-2024-00972,C1022,LIV,2024-03-11,2024-03-15,2024-03-11,Web,Despatched
SO-2024-00973,C1526,LIV,2024-03-11,2024-03-14,2024-03-11,Trade counter,Despatched
SO-2024-00974,C1168,LIV,2024-03-11,2024-03-14,2024-03-12,Trade counter,Despatched
SO-2024-00975,C1189,DAV,2024-03-12,2024-03-13,,Web,Cancelled
SO-2024-00976,C1734,DAV,2024-03-12,2024-03-18,2024-03-13,Telephone,Despatched
SO-2024-00977,C1434,DAV,2024-03-12,2024-03-14,2024-03-12,Trade counter,Despatched
SO-2024-00978,C1593,DAV,2024-03-12,2024-03-14,2024-03-12,Web,Part despatched
SO-2024-00979,C1985,DAV,2024-03-12,2024-03-18,2024-03-13,Trade counter,Part despatched
SO-2024-00980,C1145,DAV,2024-03-12,2024-03-14,2024-03-15,Trade counter,Despatched
SO-2024-00981,C1255,DAV,2024-03-12,2024-03-15,2024-03-13,Telephone,Despatched
SO-2024-00982,C1145,DAV,2024-03-12,2024-03-14,2024-03-12,Account manager,Despatched
SO-2024-00983,C1898,DAV,2024-03-12,2024-03-13,2024-03-12,Trade counter,Despatched
SO-2024-00984,C1952,DAV,2024-03-12,2024-03-14,2024-03-12,Trade counter,Despatched
SO-2024-00985,C1366,DAV,2024-03-12,2024-03-15,2024-03-14,Trade counter,Part despatched
SO-2024-00986,C1270,DAV,2024-03-12,2024-03-14,2024-03-12,Web,Part despatched
SO-2024-00987,C1264,WAR,2024-03-12,2024-03-14,2024-03-13,Web,Despatched
SO-2024-00988,C1215,WAR,2024-03-12,2024-03-14,2024-03-13,Telephone,Part despatched
SO-2024-00989,C1955,WAR,2024-03-12,2024-03-13,2024-03-12,Trade counter,Despatched
SO-2024-00990,C1215,WAR,2024-03-12,2024-03-14,2024-03-12,Trade counter,Part despatched
SO-2024-00991,C1464,WAR,2024-03-12,2024-03-14,2024-03-13,Web,Part despatched
SO-2024-00992,C1948,WAR,2024-03-12,2024-03-15,2024-03-12,Trade counter,Despatched
SO-2024-00993,C1051,WAR,2024-03-12,2024-03-18,2024-03-14,Trade counter,Despatched
SO-2024-00994,C1156,WAR,2024-03-12,2024-03-14,2024-03-13,Telephone,Despatched
SO-2024-00995,C1204,WAR,2024-03-12,2024-03-14,2024-03-12,Telephone,Part despatched
SO-2024-00996,C1422,LIV,2024-03-12,2024-03-14,2024-03-12,Trade counter,Despatched
SO-2024-00997,C1778,LIV,2024-03-12,2024-03-13,2024-03-12,Account manager,Despatched
SO-2024-00998,C1145,DAV,2024-03-13,2024-03-18,2024-03-13,Trade counter,Despatched
SO-2024-00999,C1255,DAV,2024-03-13,2024-03-15,2024-03-14,Trade counter,Part despatched
SO-2024-01000,C1385,DAV,2024-03-13,2024-03-19,2024-03-13,Telephone,Part despatched
SO-2024-01001,C1734,DAV,2024-03-13,2024-03-14,2024-03-14,Telephone,Despatched
SO-2024-01002,C1599,DAV,2024-03-13,2024-03-19,2024-03-15,Trade counter,Part despatched
SO-2024-01003,C1864,DAV,2024-03-13,2024-03-14,2024-03-13,Telephone,Despatched
SO-2024-01004,C1593,DAV,2024-03-13,2024-03-15,2024-03-13,Web,Despatched
SO-2024-01005,C1078,DAV,2024-03-13,2024-03-18,2024-03-13,Telephone,Despatched
SO-2024-01006,C1255,DAV,2024-03-13,2024-03-18,2024-03-13,Web,Despatched
SO-2024-01007,C1734,DAV,2024-03-13,2024-03-15,2024-03-13,Account manager,Part despatched
SO-2024-01008,C1728,DAV,2024-03-13,2024-03-19,2024-03-13,Trade counter,Part despatched
SO-2024-01009,C1936,DAV,2024-03-13,2024-03-14,2024-03-15,Trade counter,Despatched
SO-2024-01010,C1255,DAV,2024-03-13,2024-03-19,2024-03-13,Trade counter,Despatched
SO-2024-01011,C1952,DAV,2024-03-13,2024-03-18,2024-03-13,Telephone,Despatched
SO-2024-01012,C1591,WAR,2024-03-13,2024-03-19,2024-03-13,Trade counter,Part despatched
SO-2024-01013,C1234,WAR,2024-03-13,2024-03-19,2024-03-15,Account manager,Despatched
SO-2024-01014,C1057,WAR,2024-03-13,2024-03-15,2024-03-14,Web,Despatched
SO-2024-01015,C1713,WAR,2024-03-13,2024-03-15,2024-03-13,Account manager,Despatched
SO-2024-01016,C1234,WAR,2024-03-13,2024-03-15,2024-03-13,Trade counter,Despatched
SO-2024-01017,C1432,LIV,2024-03-13,2024-03-14,2024-03-13,Telephone,Part despatched
SO-2024-01018,C1134,DAV,2024-03-14,2024-03-15,2024-03-14,Trade counter,Part despatched
SO-2024-01019,C1217,DAV,2024-03-14,2024-03-15,2024-03-14,Trade counter,Despatched
SO-2024-01020,C1648,DAV,2024-03-14,2024-03-20,2024-03-14,Account manager,Despatched
SO-2024-01021,C1366,DAV,2024-03-14,2024-03-18,2024-03-15,Telephone,Despatched
SO-2024-01022,C1066,DAV,2024-03-14,2024-03-18,,Web,Cancelled
SO-2024-01023,C1201,DAV,2024-03-14,2024-03-19,2024-03-14,Telephone,Despatched
SO-2024-01024,C1413,DAV,2024-03-14,2024-03-15,2024-03-14,Telephone,Part despatched
SO-2024-01025,C1734,DAV,2024-03-14,2024-03-20,2024-03-14,Web,Despatched
SO-2024-01026,C1278,DAV,2024-03-14,2024-03-15,2024-03-14,Trade counter,Despatched
SO-2024-01027,C1648,DAV,2024-03-14,2024-03-20,2024-03-15,Telephone,Part despatched
SO-2024-01028,C1145,DAV,2024-03-14,2024-03-18,2024-03-14,Account manager,Part despatched
SO-2024-01029,C1047,WAR,2024-03-14,2024-03-18,2024-03-14,Web,Despatched
SO-2024-01030,C1234,WAR,2024-03-14,2024-03-20,2024-03-14,Trade counter,Despatched
SO-2024-01031,C1558,WAR,2024-03-14,2024-03-19,2024-03-15,Account manager,Despatched
SO-2024-01032,C1392,WAR,2024-03-14,2024-03-19,2024-03-14,Telephone,Despatched
SO-2024-01033,C1835,LIV,2024-03-14,2024-03-18,2024-03-14,Telephone,Part despatched
SO-2024-01034,C1085,LIV,2024-03-14,2024-03-20,2024-03-14,Web,Part despatched
SO-2024-01035,C1357,LIV,2024-03-14,2024-03-18,2024-03-15,Web,Part despatched
SO-2024-01036,C1168,LIV,2024-03-14,2024-03-15,2024-03-14,Trade counter,Despatched
SO-2024-01037,C1004,LIV,2024-03-14,2024-03-18,2024-03-18,Web,Despatched
SO-2024-01038,C1145,DAV,2024-03-15,2024-03-21,2024-03-15,Telephone,Despatched
SO-2024-01039,C1554,DAV,2024-03-15,2024-03-20,2024-03-15,Web,Despatched
SO-2024-01040,C1078,DAV,2024-03-15,2024-03-18,2024-03-20,Trade counter,Part despatched
SO-2024-01041,C1936,DAV,2024-03-15,2024-03-21,2024-03-15,Trade counter,Despatched
SO-2024-01042,C1926,DAV,2024-03-15,2024-03-20,2024-03-18,Trade counter,Despatched
SO-2024-01043,C1098,DAV,2024-03-15,2024-03-20,2024-03-19,Trade counter,Despatched
SO-2024-01044,C1138,DAV,2024-03-15,2024-03-19,2024-03-19,Telephone,Despatched
SO-2024-01045,C1120,DAV,2024-03-15,2024-03-18,2024-03-15,Account manager,Despatched
SO-2024-01046,C1512,DAV,2024-03-15,2024-03-21,2024-03-18,Account manager,Part despatched
SO-2024-01047,C1366,DAV,2024-03-15,2024-03-18,2024-03-15,Trade counter,Despatched
SO-2024-01048,C1366,DAV,2024-03-15,2024-03-19,2024-03-15,Web,Part despatched
SO-2024-01049,C1429,DAV,2024-03-15,2024-03-21,2024-03-18,Trade counter,Despatched
SO-2024-01050,C1157,WAR,2024-03-15,2024-03-19,2024-03-15,Account manager,Despatched
SO-2024-01051,C1702,WAR,2024-03-15,2024-03-19,2024-03-15,Web,Part despatched
SO-2024-01052,C1651,WAR,2024-03-15,2024-03-20,2024-03-15,Telephone,Despatched
SO-2024-01053,C1790,WAR,2024-03-15,2024-03-19,2024-03-15,Web,Despatched
SO-2024-01054,C1687,LIV,2024-03-15,2024-03-18,2024-03-15,Account manager,Despatched
SO-2024-01055,C1639,DAV,2024-03-18,2024-03-22,2024-03-18,Web,Part despatched
SO-2024-01056,C1385,DAV,2024-03-18,2024-03-21,2024-03-18,Telephone,Despatched
SO-2024-01057,C1521,DAV,2024-03-18,2024-03-20,2024-03-18,Telephone,Despatched
SO-2024-01058,C1881,DAV,2024-03-18,2024-03-20,2024-03-18,Account manager,Despatched
SO-2024-01059,C1098,DAV,2024-03-18,2024-03-20,2024-03-19,Telephone,Despatched
SO-2024-01060,C1201,DAV,2024-03-18,2024-03-19,2024-03-18,Web,Despatched
SO-2024-01061,C1521,DAV,2024-03-18,2024-03-20,2024-03-18,Trade counter,Despatched
SO-2024-01062,C1928,DAV,2024-03-18,2024-03-19,2024-03-18,Telephone,Despatched
SO-2024-01063,C1407,DAV,2024-03-18,2024-03-19,2024-03-18,Telephone,Despatched
SO-2024-01064,C1316,DAV,2024-03-18,2024-03-22,2024-03-18,Web,Part despatched
SO-2024-01065,C1032,WAR,2024-03-18,2024-03-22,2024-03-21,Account manager,Despatched
SO-2024-01066,C1287,WAR,2024-03-18,2024-03-22,2024-03-18,Account manager,Despatched
SO-2024-01067,C1234,WAR,2024-03-18,2024-03-20,2024-03-19,Trade counter,Part despatched
SO-2024-01068,C1090,WAR,2024-03-18,2024-03-22,2024-03-18,Account manager,Part despatched
SO-2024-01069,C1032,WAR,2024-03-18,2024-03-19,2024-03-18,Web,Despatched
SO-2024-01070,C1230,WAR,2024-03-18,2024-03-19,2024-03-20,Web,Part despatched
SO-2024-01071,C1240,WAR,2024-03-18,2024-03-21,2024-03-18,Telephone,Despatched
SO-2024-01072,C1720,WAR,2024-03-18,2024-03-19,2024-03-19,Telephone,Despatched
SO-2024-01073,C1266,LIV,2024-03-18,2024-03-21,2024-03-18,Trade counter,Despatched
SO-2024-01074,C1821,LIV,2024-03-18,2024-03-20,2024-03-20,Account manager,Part despatched
SO-2024-01075,C1201,DAV,2024-03-19,2024-03-20,2024-03-19,Web,Despatched
SO-2024-01076,C1434,DAV,2024-03-19,2024-03-20,2024-03-19,Telephone,Part despatched
SO-2024-01077,C1143,DAV,2024-03-19,2024-03-21,2024-03-19,Telephone,Part despatched
SO-2024-01078,C1056,DAV,2024-03-19,2024-03-20,2024-03-19,Account manager,Part despatched
SO-2024-01079,C1936,DAV,2024-03-19,2024-03-21,2024-03-19,Web,Despatched
SO-2024-01080,C1143,DAV,2024-03-19,2024-03-22,2024-03-19,Web,Part despatched
SO-2024-01081,C1146,DAV,2024-03-19,2024-03-22,2024-03-19,Account manager,Part despatched
SO-2024-01082,C1447,DAV,2024-03-19,2024-03-20,2024-03-20,Web,Part despatched
SO-2024-01083,C1032,WAR,2024-03-19,2024-03-22,2024-03-19,Web,Despatched
SO-2024-01084,C1032,WAR,2024-03-19,2024-03-25,2024-03-20,Trade counter,Despatched
SO-2024-01085,C1398,WAR,2024-03-19,2024-03-22,2024-03-19,Account manager,Despatched
SO-2024-01086,C1243,WAR,2024-03-19,2024-03-25,2024-03-19,Trade counter,Part despatched
SO-2024-01087,C1017,WAR,2024-03-19,2024-03-20,2024-03-19,Web,Despatched
SO-2024-01088,C1454,WAR,2024-03-19,2024-03-25,2024-03-19,Account manager,Part despatched
SO-2024-01089,C1822,WAR,2024-03-19,2024-03-21,2024-03-20,Telephone,Part despatched
SO-2024-01090,C1634,LIV,2024-03-19,2024-03-22,2024-03-19,Trade counter,Despatched
SO-2024-01091,C1841,DAV,2024-03-20,2024-03-25,2024-03-20,Account manager,Despatched
SO-2024-01092,C1563,DAV,2024-03-20,2024-03-21,2024-03-20,Web,Despatched
SO-2024-01093,C1145,DAV,2024-03-20,2024-03-26,2024-03-20,Telephone,Part despatched
SO-2024-01094,C1114,DAV,2024-03-20,2024-03-22,2024-03-21,Telephone,Despatched
SO-2024-01095,C1610,DAV,2024-03-20,2024-03-22,2024-03-20,Web,Despatched
SO-2024-01096,C1366,DAV,2024-03-20,2024-03-22,2024-03-20,Trade counter,Part despatched
SO-2024-01097,C1802,WAR,2024-03-20,2024-03-25,2024-03-20,Telephone,Despatched
SO-2024-01098,C1948,WAR,2024-03-20,2024-03-21,2024-03-20,Account manager,Despatched
SO-2024-01099,C1651,WAR,2024-03-20,2024-03-25,2024-03-20,Trade counter,Despatched
SO-2024-01100,C1234,WAR,2024-03-20,2024-03-25,2024-03-20,Trade counter,Part despatched
SO-2024-01101,C1017,WAR,2024-03-20,2024-03-25,2024-03-20,Web,Despatched
SO-2024-01102,C1821,LIV,2024-03-20,2024-03-26,2024-03-25,Telephone,Despatched
SO-2024-01103,C1168,LIV,2024-03-20,2024-03-22,2024-03-20,Telephone,Part despatched
SO-2024-01104,C1563,DAV,2024-03-21,2024-03-22,2024-03-21,Trade counter,Part despatched
SO-2024-01105,C1145,DAV,2024-03-21,2024-03-26,2024-03-22,Web,Despatched
SO-2024-01106,C1521,DAV,2024-03-21,2024-03-26,2024-03-22,Telephone,Despatched
SO-2024-01107,C1587,DAV,2024-03-21,2024-03-22,2024-03-21,Trade counter,Despatched
SO-2024-01108,C1531,DAV,2024-03-21,2024-03-27,2024-03-22,Telephone,Despatched
SO-2024-01109,C1563,DAV,2024-03-21,2024-03-27,2024-03-22,Web,Despatched
SO-2024-01110,C1092,DAV,2024-03-21,2024-03-26,2024-03-21,Trade counter,Part despatched
SO-2024-01111,C1255,DAV,2024-03-21,2024-03-26,2024-03-21,Web,Part despatched
SO-2024-01112,C1354,DAV,2024-03-21,2024-03-22,2024-03-21,Telephone,Despatched
SO-2024-01113,C1042,DAV,2024-03-21,2024-03-22,2024-03-22,Telephone,Despatched
SO-2024-01114,C1447,DAV,2024-03-21,2024-03-26,2024-03-21,Trade counter,Part despatched
SO-2024-01115,C1194,DAV,2024-03-21,2024-03-27,2024-03-21,Telephone,Despatched
SO-2024-01116,C1728,DAV,2024-03-21,2024-03-27,2024-03-21,Account manager,Despatched
SO-2024-01117,C1568,WAR,2024-03-21,2024-03-26,2024-03-25,Trade counter,Despatched
SO-2024-01118,C1010,WAR,2024-03-21,2024-03-22,2024-03-22,Trade counter,Despatched
SO-2024-01119,C1844,WAR,2024-03-21,2024-03-26,2024-03-26,Web,Despatched
SO-2024-01120,C1032,WAR,2024-03-21,2024-03-27,2024-03-21,Telephone,Despatched
SO-2024-01121,C1234,WAR,2024-03-21,2024-03-27,2024-03-21,Web,Part despatched
SO-2024-01122,C1032,WAR,2024-03-21,2024-03-22,2024-03-21,Trade counter,Despatched
SO-2024-01123,C1948,WAR,2024-03-21,2024-03-27,2024-03-21,Trade counter,Despatched
SO-2024-01124,C1866,WAR,2024-03-21,2024-03-26,2024-03-21,Trade counter,Part despatched
SO-2024-01125,C1282,WAR,2024-03-21,2024-03-26,2024-03-22,Account manager,Despatched
SO-2024-01126,C1730,WAR,2024-03-21,2024-03-22,2024-03-21,Trade counter,Part despatched
SO-2024-01127,C1702,WAR,2024-03-21,2024-03-27,2024-03-21,Telephone,Despatched
SO-2024-01128,C1242,LIV,2024-03-21,2024-03-27,2024-03-21,Trade counter,Despatched
SO-2024-01129,C1160,LIV,2024-03-21,2024-03-25,2024-03-21,Trade counter,Despatched
SO-2024-01130,C1959,LIV,2024-03-21,2024-03-25,2024-03-22,Trade counter,Despatched
SO-2024-01131,C1447,DAV,2024-03-22,2024-03-27,2024-03-22,Web,Despatched
SO-2024-01132,C1184,DAV,2024-03-22,2024-03-26,2024-03-22,Account manager,Despatched
SO-2024-01133,C1977,DAV,2024-03-22,2024-03-28,2024-03-25,Trade counter,Part despatched
SO-2024-01134,C1367,DAV,2024-03-22,2024-03-26,2024-03-22,Account manager,Despatched
SO-2024-01135,C1479,DAV,2024-03-22,2024-03-25,2024-03-22,Account manager,Part despatched
SO-2024-01136,C1648,DAV,2024-03-22,2024-03-27,2024-03-25,Account manager,Part despatched
SO-2024-01137,C1211,DAV,2024-03-22,2024-03-27,2024-03-22,Telephone,Part despatched
SO-2024-01138,C1007,DAV,2024-03-22,2024-03-25,2024-03-22,Trade counter,Part despatched
SO-2024-01139,C1569,DAV,2024-03-22,2024-03-28,2024-03-25,Trade counter,Despatched
SO-2024-01140,C1563,DAV,2024-03-22,2024-03-25,2024-03-22,Trade counter,Part despatched
SO-2024-01141,C1447,DAV,2024-03-22,2024-03-27,2024-03-22,Trade counter,Part despatched
SO-2024-01142,C1866,WAR,2024-03-22,2024-03-27,2024-03-22,Web,Despatched
SO-2024-01143,C1264,WAR,2024-03-22,2024-03-26,2024-03-22,Account manager,Part despatched
SO-2024-01144,C1164,WAR,2024-03-22,2024-03-26,2024-03-22,Telephone,Part despatched
SO-2024-01145,C1207,WAR,2024-03-22,2024-03-26,2024-03-25,Trade counter,Part despatched
SO-2024-01146,C1001,WAR,2024-03-22,2024-03-26,2024-03-22,Trade counter,Despatched
SO-2024-01147,C1730,WAR,2024-03-22,2024-03-25,2024-03-22,Trade counter,Part despatched
SO-2024-01148,C1395,WAR,2024-03-22,2024-03-28,2024-03-22,Telephone,Despatched
SO-2024-01149,C1398,WAR,2024-03-22,2024-03-27,2024-03-25,Telephone,Despatched
SO-2024-01150,C1878,LIV,2024-03-22,2024-03-28,2024-03-22,Trade counter,Despatched
SO-2024-01151,C1723,LIV,2024-03-22,2024-03-27,2024-03-22,Account manager,Despatched
SO-2024-01152,C1936,DAV,2024-03-25,2024-03-28,2024-03-25,Web,Despatched
SO-2024-01153,C1426,DAV,2024-03-25,2024-03-26,2024-03-25,Telephone,Despatched
SO-2024-01154,C1143,DAV,2024-03-25,2024-04-02,2024-03-27,Telephone,Despatched
SO-2024-01155,C1056,DAV,2024-03-25,2024-03-28,2024-03-25,Trade counter,Part despatched
SO-2024-01156,C1299,DAV,2024-03-25,2024-04-02,2024-03-25,Trade counter,Despatched
SO-2024-01157,C1134,DAV,2024-03-25,2024-03-26,2024-03-25,Account manager,Part despatched
SO-2024-01158,C1554,DAV,2024-03-25,2024-03-28,2024-03-25,Telephone,Despatched
SO-2024-01159,C1114,DAV,2024-03-25,2024-03-27,2024-03-27,Trade counter,Despatched
SO-2024-01160,C1593,DAV,2024-03-25,2024-04-02,2024-03-25,Trade counter,Part despatched
SO-2024-01161,C1491,DAV,2024-03-25,2024-03-28,2024-03-25,Trade counter,Despatched
SO-2024-01162,C1429,DAV,2024-03-25,2024-03-27,2024-03-25,Telephone,Despatched
SO-2024-01163,C1078,DAV,2024-03-25,2024-04-02,2024-03-25,Telephone,Part despatched
SO-2024-01164,C1253,DAV,2024-03-25,2024-03-28,2024-03-25,Web,Despatched
SO-2024-01165,C1429,DAV,2024-03-25,2024-03-27,2024-03-28,Web,Part despatched
SO-2024-01166,C1646,DAV,2024-03-25,2024-03-26,2024-03-25,Account manager,Despatched
SO-2024-01167,C1264,WAR,2024-03-25,2024-04-02,2024-03-25,Trade counter,Despatched
SO-2024-01168,C1896,WAR,2024-03-25,2024-03-27,2024-03-25,Web,Despatched
SO-2024-01169,C1240,WAR,2024-03-25,2024-03-27,2024-03-25,Trade counter,Part despatched
SO-2024-01170,C1790,WAR,2024-03-25,2024-03-27,2024-03-25,Trade counter,Despatched
SO-2024-01171,C1157,WAR,2024-03-25,2024-03-27,2024-03-25,Telephone,Despatched
SO-2024-01172,C1168,LIV,2024-03-25,2024-03-27,2024-03-25,Telephone,Despatched
SO-2024-01173,C1299,DAV,2024-03-26,2024-04-03,2024-03-27,Web,Despatched
SO-2024-01174,C1704,DAV,2024-03-26,2024-03-27,2024-03-26,Telephone,Despatched
SO-2024-01175,C1367,DAV,2024-03-26,2024-03-28,2024-03-27,Telephone,Despatched
SO-2024-01176,C1646,DAV,2024-03-26,2024-03-27,2024-03-26,Account manager,Despatched
SO-2024-01177,C1800,DAV,2024-03-26,2024-04-03,2024-03-26,Telephone,Despatched
SO-2024-01178,C1875,DAV,2024-03-26,2024-04-02,2024-03-26,Trade counter,Part despatched
SO-2024-01179,C1636,DAV,2024-03-26,2024-04-02,2024-03-26,Trade counter,Part despatched
SO-2024-01180,C1195,DAV,2024-03-26,2024-03-27,2024-03-26,Web,Despatched
SO-2024-01181,C1940,DAV,2024-03-26,2024-04-03,2024-03-26,Telephone,Part despatched
SO-2024-01182,C1145,DAV,2024-03-26,2024-04-03,2024-03-26,Account manager,Despatched
SO-2024-01183,C1319,DAV,2024-03-26,2024-04-02,2024-03-27,Trade counter,Despatched
SO-2024-01184,C1734,DAV,2024-03-26,2024-04-03,2024-03-26,Account manager,Despatched
SO-2024-01185,C1437,DAV,2024-03-26,2024-04-02,2024-03-27,Telephone,Despatched
SO-2024-01186,C1145,DAV,2024-03-26,2024-04-03,2024-03-27,Trade counter,Despatched
SO-2024-01187,C1535,WAR,2024-03-26,2024-04-03,2024-03-26,Telephone,Despatched
SO-2024-01188,C1790,WAR,2024-03-26,2024-03-27,2024-03-26,Telephone,Despatched
SO-2024-01189,C1051,WAR,2024-03-26,2024-04-02,2024-03-26,Trade counter,Part despatched
SO-2024-01190,C1409,WAR,2024-03-26,2024-03-28,2024-03-28,Telephone,Despatched
SO-2024-01191,C1215,WAR,2024-03-26,2024-04-03,2024-03-27,Web,Part despatched
SO-2024-01192,C1391,WAR,2024-03-26,2024-03-27,2024-03-27,Trade counter,Despatched
SO-2024-01193,C1398,WAR,2024-03-26,2024-04-02,2024-03-26,Trade counter,Despatched
SO-2024-01194,C1057,WAR,2024-03-26,2024-04-02,2024-03-26,Account manager,Part despatched
SO-2024-01195,C1730,WAR,2024-03-26,2024-04-02,2024-03-26,Trade counter,Despatched
SO-2024-01196,C1033,LIV,2024-03-26,2024-04-02,2024-03-26,Telephone,Despatched
SO-2024-01197,C1975,LIV,2024-03-26,2024-03-27,2024-03-26,Telephone,Despatched
SO-2024-01198,C1305,LIV,2024-03-26,2024-03-27,2024-03-27,Trade counter,Part despatched
SO-2024-01199,C1371,DAV,2024-03-27,2024-04-02,2024-03-28,Account manager,Despatched
SO-2024-01200,C1307,DAV,2024-03-27,2024-04-03,2024-03-27,Web,Part despatched
SO-2024-01201,C1366,DAV,2024-03-27,2024-04-02,2024-03-28,Trade counter,Part despatched
SO-2024-01202,C1704,DAV,2024-03-27,2024-04-02,2024-03-27,Telephone,Despatched
SO-2024-01203,C1734,DAV,2024-03-27,2024-04-04,2024-03-27,Telephone,Despatched
SO-2024-01204,C1491,DAV,2024-03-27,2024-04-04,2024-03-27,Telephone,Part despatched
SO-2024-01205,C1078,DAV,2024-03-27,2024-03-28,2024-03-27,Account manager,Despatched
SO-2024-01206,C1940,DAV,2024-03-27,2024-04-03,2024-03-27,Web,Part despatched
SO-2024-01207,C1515,DAV,2024-03-27,2024-03-28,2024-03-27,Web,Part despatched
SO-2024-01208,C1535,WAR,2024-03-27,2024-04-02,2024-03-27,Account manager,Despatched
SO-2024-01209,C1182,WAR,2024-03-27,2024-03-28,2024-03-27,Trade counter,Despatched
SO-2024-01210,C1032,WAR,2024-03-27,2024-04-04,2024-03-27,Web,Despatched
SO-2024-01211,C1391,WAR,2024-03-27,2024-03-28,2024-03-28,Web,Part despatched
SO-2024-01212,C1032,WAR,2024-03-27,2024-04-04,2024-03-27,Trade counter,Part despatched
SO-2024-01213,C1768,LIV,2024-03-27,2024-04-04,2024-03-28,Trade counter,Despatched
SO-2024-01214,C1878,LIV,2024-03-27,2024-03-28,2024-04-02,Web,Despatched
SO-2024-01215,C1634,LIV,2024-03-27,2024-03-28,2024-03-28,Account manager,Part despatched
SO-2024-01216,C1447,DAV,2024-03-28,2024-04-05,2024-04-02,Web,Despatched
SO-2024-01217,C1201,DAV,2024-03-28,2024-04-03,2024-03-28,Trade counter,Despatched
SO-2024-01218,C1818,DAV,2024-03-28,2024-04-04,2024-03-28,Telephone,Part despatched
SO-2024-01219,C1648,DAV,2024-03-28,2024-04-05,2024-03-28,Trade counter,Despatched
SO-2024-01220,C1610,DAV,2024-03-28,2024-04-03,2024-03-28,Telephone,Despatched
SO-2024-01221,C1035,DAV,2024-03-28,2024-04-02,2024-04-02,Telephone,Despatched
SO-2024-01222,C1985,DAV,2024-03-28,2024-04-02,2024-04-02,Trade counter,Despatched
SO-2024-01223,C1097,DAV,2024-03-28,2024-04-02,2024-04-03,Telephone,Part despatched
SO-2024-01224,C1447,DAV,2024-03-28,2024-04-03,2024-04-04,Telephone,Despatched
SO-2024-01225,C1078,DAV,2024-03-28,2024-04-02,2024-03-28,Telephone,Despatched
SO-2024-01226,C1447,DAV,2024-03-28,2024-04-04,2024-03-28,Account manager,Despatched
SO-2024-01227,C1447,DAV,2024-03-28,2024-04-05,2024-03-28,Telephone,Part despatched
SO-2024-01228,C1007,DAV,2024-03-28,2024-04-03,2024-03-28,Trade counter,Part despatched
SO-2024-01229,C1447,DAV,2024-03-28,2024-04-02,2024-03-28,Account manager,Despatched
